stage,axial,epidermis,erythrocytes,eye,fin_mesenchyme,iridophores,neural,olfactory,periderm,pronephros,slow_muscle,spinal_cord
  3-4,14.29,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,8.03,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.19,0,0
 24-34,0,1.28,0,0,0,0,0.61,0,0,0,0,0
 36-46,0,0,0,0,0,0,5.69,0,0,0,0,1.39
 48-58,0,0,0,1.2,0,0,17.91,0,1.22,0,0,0
 60-70,0,0,0,3.45,0,0,33.75,0,0.78,0,0,4.82
 72-82,0,0,0,22.09,0,0,97.16,0,0,0,0,1.65
 84-94,0,0,0,13.93,0,0,120.55,0,0,0,0,0
 96-106,0,0,1.54,16.69,1.41,0,77.34,0,1.13,0,0,2.9
108-118,0,0,6.21,0.67,0,0,85.75,0,0,0,0,0
120,0,0,0,0,0,11.68,180.67,3.27,0,0,2.35,0
