stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,23.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.63,0,11.83,0,0,22.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.22,0,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.71,14.9,0,0,19.37,0,0,0,6.08,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,13.09,4.2,3.86,0,0,0,3.86,2.19,0,0,0,0,0,1.08,9.26,0,0,4.72,92.97,1.73,1.09,1.07,3.73,0,0,7.15,0,0,11.84,25.31,0,0,1.63,0,0
 24-34,0,0,1.61,1.37,0,12.22,0,0,0,0,0,0.62,0,0,0,0,0,5.39,0,1.63,1.34,131.42,0,2.37,1.93,0,0,1.53,0,0,0,0,29.72,0,0,1.08,0,0.72
 36-46,0,0,0,0.66,0,40.88,0,0,0.64,0.68,0,0,0,0,0,0,0,11.14,0,0,3.23,151.45,1.04,0,0,0,0,0,0,1.06,10.92,0,41.13,0,0,2.79,0,0.67
 48-58,0,0,0,0.89,0.39,38.1,0,0.37,0,4.9,0,0,0,0,0,0,0,10.63,0,0.46,1.9,84.12,0,0.5,0,0,0.39,0,0,0,0,0,14.64,0,0,0.43,0,0
 60-70,0,0,0,0.68,0.76,48.8,0,0,0,12.72,0,0,0,0,0,0,0,5,0,0,4.46,137.5,0,0,0,0,0,0,0,0,0,0,12.4,0,0,0.57,0,0
 72-82,0,0,0,0,4.87,63.4,0,0,0,14.42,0,0,0,0,0,0,0,3.88,0,0,0.97,98.55,0,1.09,0.97,0,0,1.26,0,0,0,0,5.68,0,0.75,0.73,0,0
 84-94,0,0,0,0,0,41.72,0,0,2.76,9.06,0,0,0,0,0,0,0,3.68,1.73,3.76,0,44.18,0,4.44,3.1,0,0,3.97,0,1.19,0,0,11.65,0,0,6.43,0.77,0
 96-106,0,1.28,0,0.67,3.49,50.46,0,0,0,6.74,0,0,1.8,8.38,0,0,0,6.85,0,0.94,0,52.53,0,0,0.61,0,0,0,0,0,0,0,15.05,0,0,0,0,0
108-118,0,0.85,0,1.13,2.21,107.23,1,0,0.88,5.69,0,0,1.74,0,0.69,0.6,0,3.88,0,0,1.18,99.63,0,0,0,0,0,0.45,0,0.43,0,0,15.2,3.42,0,5.08,1.22,0
120,0,0,0,0,27.55,52.11,0,0,0,9.15,0,0,0,0,0,0,0,4.42,0,0,0,73.34,0,0,0,0,0,1.47,0,0,0,0,11.11,0,0,0,0,0
