stage,epidermis,eye,glial,hatching_gland,immune,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,pronephros,taste
  7-9,0,0,0,12.8,0,0,0,0,0,7.76,0,0,0
 10-12,0,4.55,0,0,0,0,0,0,0,13.65,0,0,0
 14-21,1.04,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.47,0,0,0.84,0,0,0,0,0
 36-46,0,0,0,0,1.12,0,0,0,2.57,0,0,0.88,0
 48-58,0,1.41,0,0,4.27,0.62,0,0,2.93,0,0,0,0
 60-70,0,0,0,0,1.7,1.21,0,0,1.21,0,0.83,0,0.77
 72-82,0.84,0.68,0,0,5.61,1.73,0,0,7.09,0,0,0,1.24
 84-94,0,6.01,0.75,0,8.97,0,0,0,11.14,0,0,0,4.31
 96-106,0,1.11,0,0,5.48,4.46,1.27,0,0,0,1.46,0,3.3
108-118,1.23,1.25,0.55,0,2.46,0,0,0,0,0,0,0,0.84
120,13.47,0,0,0,33.37,0,0,0,16.03,0,2.37,0,8.91
