stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pgc,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,13.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,102.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.53,0,0,0,20.62,0,10.45,7.32,0,0,0,0
 10-12,0,0,5.75,0,3.33,0,0,0,52.89,10.22,5.46,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.87,0.83,0,0,0.81,0,0,0
 24-34,0,0,0,0,0,2.55,0.99,0,3.71,0,0,0,0,2.46,0,2.33
 36-46,0,0,0,0,0,0,0.87,0,2.08,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
 72-82,0,0,0,0.54,3.92,0,0,0.8,3.17,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.61,1.28,0,2.02,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0.56,0
