stage,blastomeres,endoderm,eye,glial,immune,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,26.39,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.17,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.54,7.99,0,0,0,50.48,0,0,42.72,0,0,0
 10-12,0,0,4.67,0,0,0,33.73,0,0,34.43,4.43,0,0
 14-21,0,0,0,1.02,0,0,4.01,0,0,0,0,0.84,9.68
 24-34,0,0,1.28,0.63,0,0,3.94,1.33,0,0,0,0,6.4
 36-46,0,0,1.93,1.35,0,1.93,1.08,3.58,0,0,0,0.56,1.4
 48-58,0,0,0,4.53,0,0,8.86,2.08,0,0,0,0,3.62
 60-70,0,0,1.78,1.19,0,0,0.75,0,0,0,0,0,4
 72-82,0,0,1.73,2.31,0,0,4.45,2.93,1.39,0,0,0,0
 84-94,0,0,0,0,0,1.25,0,0,0,0,0,0,1.33
 96-106,0,0,0,1,5.79,0,0,0,0.67,0,0,0,0
108-118,0,0,0,2.32,13.22,2.24,6.44,2.52,0,0,0,0,0
120,0,0,0,0,5.09,0,0,1.26,0,0,0,0,0
