stage,blastomeres,eye,glial,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,11.92,0,0,0,0,0,0,0,0,0
  5-6,6.08,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0.81,0,0,0,0
 24-34,0,0,0,0.72,0,11.29,0,0,0.73,3.04
 36-46,0,3.14,0,0,0,8.23,1.29,0,0,0
 48-58,0,0.71,0,0,0.67,6.03,0,0,0,0.85
 60-70,0,4.39,1.34,2.18,0,4.58,0,0,0,1.53
 72-82,0,3.74,0,0,0,1.77,0,0,0,0
 84-94,0,10.78,0,0,0,0,0,0,0,0
 96-106,0,5.7,0,1.08,0,0,0,0,0,0
108-118,0,1.33,0,0,0,3.45,0,0,0,0
