stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,mesenchyme,neural,olfactory,paraxial_mesoderm,presomitic_mesoderm,somites
  5-6,21.28,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.28,0,0
 10-12,0,0,0,0,0,0,0,10.79,0,11.05,0,0
 14-21,0,0,0,0,0,0,0.94,0,0,0,0.82,1.31
 24-34,0,0,0,0,0,0,0,0.59,0,0,0,0
 36-46,0,0,0,3.18,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,2.5,0,0,0,0
 60-70,0,0,0.58,0,0,0,0.8,1.1,0,0,0,0
 72-82,0,0,0,0.92,0,0,1.16,0.81,0,0,0,0
 84-94,0,0.87,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.56,0,0,8.54,0,0,0,0
108-118,0,0,0,0,0,0,2.45,0,1.83,0,0,0
120,0,0,0,0,0,19.46,0,17.89,0,0,0,0
