stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,700.53,14956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425.47,0,0,0,0,0,0,0,0,0,0,0
  5-6,1470.65,14230.36,0,19.57,0,0,0,0,0,0,0,0,76.67,0,0,0,0,0,0,0,0,0,0,535.05,21.04,0,0,117.29,0,155.44,0,0,0,0,0,0,0,0,0,0,0
  7-9,158.1,157.2,0,588.95,0,0,513.72,0,0,0,0,0,279.53,0,0,0,0,0,0,0,0,0,0,5210.6,386.19,0,0,1942.5,0,4.29,53.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,61.28,0,206.1,0,11.45,387.65,0,0,0,0,0,26.93,0,0,0,0,0,0,0,0,0,0,1848.99,140.24,0,0,953.89,0,3.1,31.35,0,108.36,0,9.11,0,0,0,0,0,0
 14-21,0,0,1.13,2.8,55.26,13.09,22.05,0,2.79,0,14.02,1.05,0,0,0,0.86,0,0,0,32.87,0,0,23.14,387.1,11.88,0,6.03,27.14,0,2.01,1.1,55.62,3.64,0.99,43.9,125.5,0,0,1.16,0,0
 24-34,0,0,1.1,2.17,24.19,0.67,25.41,0,0.68,0,5.12,2.18,0,1.48,0,0.7,0,0,0,51.71,0.63,0,16.1,497.93,8.46,2.42,5.08,0,0,13.98,0,0,2.36,5.05,7.94,132.7,0,0,9.66,0,0
 36-46,0,0,0,0,30.37,0,72.36,0,0.57,2.79,4.67,0,0,2.07,0,0,0,1.99,0,60.77,0,0.77,17.67,401.5,2.58,2.56,4.72,0,1.69,30.5,0,0,0,0,0,81.88,0,0,5.8,0,0.67
 48-58,0,0,0,0,2.91,0,60.79,0.84,0,4.29,9.89,0,0,0.61,0,0,0,1.43,2.18,40.73,0,0.54,4.38,241.58,1.2,0.5,1.25,0,0,19.24,0,0,0,0,0,37.13,0,0,1.38,0,0
 60-70,0,0,0,0,3.85,0,51.43,0,1.85,0.98,17.82,0,0,0,0,0.93,0,0,0,65.32,0,0,3.46,215.19,0.98,2.73,1.59,0,0.66,2.82,0,0,0,0,0,56.82,0,0,3.13,0.73,0
 72-82,0,0,0,0,1.18,0,50.09,0,0,0.67,21.42,0.7,0,2.28,0,0,0,2.42,0,62.9,0,4.16,4.16,157.42,0,0,1.78,0,0,0.49,0,0,0,0,0,37.27,0,0.53,0.62,0,0
 84-94,0,0,0,0,2.73,0,47.77,0,0,2.45,6.5,0,0,0.7,0.7,0,0.73,0,0,72.05,0,2.7,7.29,124.65,0.6,1.31,1.19,0,2.3,8.06,0,0,0,0,0,54.7,0,1.08,1.19,0,0
 96-106,0,0,0,0,5.91,0,10.8,0,0,0.96,21.99,0,0,0,0,0,0,0,0,49.11,0,3.47,2.36,87.31,0,1.84,5.2,0,0,1.19,0,0,1.37,0,0,11.38,0,1.81,11.79,0,8.62
108-118,0,0,1.11,0,6.02,0,16.09,0.46,1.36,0.75,9.15,0,0,0,0,0,0,0,0.42,57.82,0,0.65,5.57,135.11,1.05,0,2.24,0,0,10.56,0,0,0,0,0,7.28,0,0.57,0,2.03,0
120,0,0,0,0,3.92,0,24.07,0,1.22,11.16,13.85,0,0,0,2.37,0,0,0,0,11.57,0,0,18.43,149.62,0,0,9.12,0,0,4.36,0,0,0,0,0,2.31,2.39,0,24.62,0,0
