stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,86.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.57,36.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.59,0,0,0,4.97,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,0,2.16,0,0,0.97,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,17.01,11.45,0.94,0,0,0,0,4.69,0,0,0,0,0
 24-34,0,0,0,0,2.99,0,0,11.62,0,0,0,0.94,0,0,0,1.01,0,0,13.44,0,0,0,408.43,0.64,4.35,5.19,0,0,0,90.71,0,0,0,0,0
 36-46,0,0,0,0,0.92,0,0,17.81,0,1.39,0,4.53,0,0,0,0,0,0,11.37,0,0,2.05,1388.56,0,0,1.45,0,0,0,154.33,0,0,0,0,4.7
 48-58,0,0,0,0,18.94,5.51,0,129.72,0,10.19,0,24.56,0,0.44,0,0,0,0,33.44,0,0,6.39,2156.83,0,0,7.32,0,0,0,187.88,0,0,0,0,0.63
 60-70,0,0,1.1,5.18,7.19,0,0,494.07,0,0,0.85,108.34,0.84,0,0,0,0,0,143.7,0,0,3.12,4405.53,0,4.5,4.3,0,0,4.18,354.52,0,0,0,0,0
 72-82,0,0,2.05,0,24.41,0.66,0,657.6,0.79,0,0,202.97,16.55,0,1.21,0,0,0.96,229.37,1.16,6.78,0.57,5698.28,0,0,3.99,0,0,1.8,241.49,2.71,4.6,0.94,5.42,6.57
 84-94,0,0,0.84,0,34.35,2.86,1.39,617.61,0,1.57,0,217.26,49.09,1.66,0.62,0,0,0,219.19,4.15,3.59,2.45,3430.45,0,0,11.65,0,0,0.58,133.82,3.7,1.21,0.91,2.44,0
 96-106,0,0,3.74,0,31.39,2.8,19.67,548.65,0,0.65,0,205.38,10.34,0,0.95,0,0,1.54,246.72,0,5.33,1.52,3333.91,0,0,5.82,0,0,5.78,95.01,0,8.57,2.81,1.91,3.35
108-118,0,0,1.48,0,50.76,0.96,3.65,572.88,0,2.32,3.23,244.74,33.2,0,1.21,0,9.35,0,296.81,0,0,4.83,3832.46,0,6.82,13.45,0,2.35,2.62,52,0,0,0.55,0.57,0
120,0,0,0,0,85.47,1.34,0,797.42,0,0,18.61,348.56,3.89,0,0,0,33.46,1.05,342.11,0,0,1.64,6677.86,0,0,9.3,0,0,4.61,84.24,0,2.93,0,0,0
