stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,hatching_gland,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros
  5-6,28.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.14,0,0,0,0,4.54,0,0,0,0,31.88,0,7.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,8.29,0,5.2,0,0,19.91
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0
 24-34,0,0,0,0,0,0,0,0,0,0.7,0,2.35,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0
 48-58,0,0,0,0,7.01,0.59,0,0,0,0,0,1.19,0.5,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0.9,0,0
 84-94,0,0,0,0,0,0,0,0.82,1.97,0,0,0,0,0,1.14,0,0
108-118,0,0,0,2.14,0,0,0,0,0,0,1.15,0,0,0,0,0,0
120,0,0,0,0,5.41,0,0,0,0,0,0,0,0,0,0,0,0
