stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,heart,immune,mesenchyme,mural_cell,neural,otic,periderm,spinal_cord,vasculature
 14-21,2.27,0,0,0,0,0,0,0,0,3.03,0,2.44,1.06,1.09
 24-34,0.91,0,0,0.59,0,0,0,0.65,0,1.63,0,0,0.67,0
 36-46,0,0,0,0,1.08,0,0,0,0,11.39,0,0,0,0
 48-58,3.23,0,0,0.4,0,0,1.13,0,0,10.07,0,0,2.07,0
 60-70,0,0,0,12.06,0,0,3.6,0,0,28.51,0,0,2.01,0
 72-82,0,0,0,3.08,0,0.89,68.02,0,0,28.5,0,0,0,9.62
 84-94,0,10.39,0,4.72,1.2,0,96.09,0,0,15.85,0,0,0,0
 96-106,0,0,0,9.65,0,0,243.91,1.88,0.59,9.92,3.43,3.18,0,1.1
108-118,0.61,0,0.85,8.65,0,0,209.2,2.92,0,12.35,0,0,0,2.75
120,3.77,9.8,0,3.17,0,0,885.08,11.76,0,55.27,0,0,4.03,9.84
