stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,16.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,25.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.22,0,0,5.66,0,0,0,0,0,0,0,0,0,30.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43,0,0,0,0,3.69,0,0,0,0,0
 14-21,0,0,11.02,2.68,0,0,0,1.58,0,0,2.75,0,1.2,38.47,0,2.18,1.52,5.91,0,0,4.45,9.78,0,0
 24-34,0,0,3.9,0,0,0,1.13,0,0,0,0.96,0,0,26,0.87,0,6.73,0,0,0.61,0.72,2.61,0,0
 36-46,0,0,0,2,0,0,1.83,0,0,0,2.84,0,0,15.3,0.64,0,2.28,0,0,0,0,2.19,1.78,0
 48-58,0,0,1.41,1.43,0,0,0.51,0,0,0,1.89,0,0,16.45,0,0,4.14,0,0,0,0,3.47,0.49,0
 60-70,0,0,0,5.29,0,0.72,0.74,0,0,0,0.58,0,0.58,14.19,1.04,0,3.91,0,0,0,0,2.77,0,0
 72-82,0,0,1.65,1.97,0,0,2.44,0,1.16,0,6.57,0.88,0,6.9,0,0,4.48,0,0,0,0,0,0,0
 84-94,0,0,1.5,0,0,0,14.28,0,0,1.45,6.06,0,0,1.8,0,0,5.49,0,0.8,0,0,0,1,0.89
 96-106,0,0,0,4.7,0,0,3.12,0,0,0,3.55,0,0,4.23,0,0,1.96,0,0,0,0,0,0,0
108-118,0,0,0.47,4.86,0.99,0,0,0,0,0,2.61,0,0,6.58,0,0,0.72,0,0,0,0,0,0,0
120,0,0,2.55,2.06,0,0,11.64,0,0,0,0,1.72,0,0,0,0,1.03,0,0,0,0,0,0,0
