stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,127.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0
  5-6,90.8,0,0,0,0,0,0,0,0,0,0,21.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.66,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.63,0,0,0,4.36,0,9.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.95,0,0,0,8.64,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.01,0,0,2.87,0,0,1.96,0,0,0,0,0,0,0,4.87,11.09,0,22.72,163.43,0,0,129.49,8.23,0,2.05,19.31,1.79,3345.9,12.78,92.68,0,0,1.12,2.11
 24-34,0,0,0,1.54,1.67,0,13.34,0,0,0.93,0,0,0,0,1.66,0,0,1.29,20.04,0,96.81,300.89,2.29,0,68.42,0,0,1.8,0,21.29,2206.95,0.65,128.35,0,0,0.87,4.17
 36-46,0,0,0,3.88,0,0,9.3,0,0,1.87,0,0,1.9,0,0.74,0,0,0.79,1.5,0,7.09,96.74,5.73,0,23.88,0,0,0,0,13.75,354.58,0,55.95,0,0,0,13.2
 48-58,0,0,0,0,0,0,33.96,0,0,31.59,0,0,0,0,21.28,0,0,0.48,10.15,0,0,41.64,0,0,12.98,0,0,0,0,5.51,23.37,0,5.36,0,0,0,22.23
 60-70,0,0,0,0,0,0,35.25,0,0,75.96,1.61,0,0,0,141.99,0,11.19,0,22.26,0,0,14.93,0,0,15.81,0,0,0,0,10.89,3.72,0,1.06,0,0,0,7.47
 72-82,0,0,0,2.39,3.29,0,25.97,0,0,125.58,2.91,0,0,0,137.5,0,26.61,0,14.25,0,0,38.05,0,0,13.5,0,0,0,0,12.8,0,0,0.91,0.87,0,0,9.32
 84-94,0,0,0,0,0,0,33.6,0,0,110,6.64,0,2.02,0,127.62,0,93.62,0,16.3,10.95,0,38.45,0,0,20.18,0,0,8.36,0,50.65,0,0,0,0,0,0,51.05
 96-106,0,1.23,0,4.46,4.14,0.98,42.27,0.98,2.38,257.84,102.89,0,0,0.56,76.1,0,285.71,2.25,18.1,0,2.98,91.28,0,0,26.75,0,1.44,9.58,0,79.17,0,0,1.13,0,0,0,33.56
108-118,0,0,0,1.75,1.64,3.15,44.86,0,0,306.37,314.15,0,5.29,0,84.84,0,663.59,0,34.73,0,0.51,99.36,0,0.93,24.48,0,2.37,1.41,0,96.62,0,0,0.61,0,0.41,4.25,26.32
120,0,0,0,1.75,0,0,77.94,0,0,377.38,226.68,0,0,0,37,2.07,299.93,0,21.06,0,0,115.5,0,1.45,22.53,0,0,2.43,0,81.85,0,0,27.37,0,1.51,0,6.06
