stage,blastomeres,glial,neural,paraxial_mesoderm,spinal_cord
  5-6,9.07,0,0,0,0
  7-9,0,0,5.89,0,0
 10-12,0,0,75.88,6.03,0
 24-34,0,0.82,3.53,0,1.47
 36-46,0,0,3.3,0,3.07
 48-58,0,0,3.88,0,0.55
 72-82,0,0,13.24,0,0
 84-94,0,0,0,0,0.64
