stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,44.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0
 14-21,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.65,0,0,0,0,8.83,0,0,0,0,0,0
 36-46,0,0,0,0,0,2.44,0,0,0,0.75,4.56,0,0,0.72,0,0,0
 48-58,0,0,0,1.31,0,12.41,1.52,0,0,0,2.99,0,0,0,0.6,0,0
 60-70,0,0,0,1.2,1.03,3.98,0.66,0,0,0,10.31,0,0,0,0,0,0
 72-82,0,0,0.77,2.44,0,25.34,9.47,0,0,0,7.78,0,0,0,0,0,0
 84-94,0,1.23,0,0,0,20.7,0,0,1.37,0,4.24,0,0,3.19,0,0,0
 96-106,0,0,0,0,0,13.28,0,2.96,1.7,0,6.17,0,0,0,0,0,0
108-118,0,1.1,0,0,0,13.85,3.52,0,0,0.43,4.83,0.78,0,0,0,0.96,0.65
120,0,0,0,0,0,15.21,0,0,0,0,0,0,0,0,0,0,0
