stage,blastomeres,eye,glial,mural_cell,neural,pronephros
  3-4,27.86,0,0,0,0,0
  5-6,7.83,0,0,0,0,0
 10-12,0,0,0,0,18.22,12.63
 36-46,0,1.46,0,0,0,0
 72-82,0,0,1,0,1.26,0
 96-106,0,0,0,2.17,0,0
