stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,294.76,5283.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.45,0,0,0,0,0,0,0,0,0,0,0
  5-6,509.01,9372.15,0,25.25,0,0,0,0,0,0,0,102.84,0,0,0,0,0,0,0,0,0,0,381.87,41.94,0,0,62.1,0,80.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,91.58,241.91,0,279.51,0,0,603.38,0,0,0,0,139.65,0,0,0,0,0,0,0,0,0,0,6132.31,134.69,0,0,2139.38,0,9.02,21,0,0,0,0,0,0,0,0,0,0
 10-12,0,160.2,0,127.59,0,29.3,373.37,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,3625.62,41.99,0,0,1170.88,0,0,22.84,0,317.23,0,8.29,4.51,0,0,0,0,0
 14-21,0,0,0,13.78,69.24,17.23,49.48,0,0,34.37,4.49,0,0,0,7.78,0,0,1.84,41.49,0,0,47.85,1003.73,4.99,4.84,7.32,20.04,0,22.6,0,51.31,4.8,0,49.4,294.7,0,0,1.06,0,0
 24-34,0,0,0,5.77,25.49,1.44,218.84,1.99,1.24,30.26,1.88,0,0.69,0.71,1.31,4.22,2.59,0,102.33,0,0.82,42.78,1449.88,5.72,7.43,9.46,1,0,24.29,0,0,1.98,0,4.32,252.52,0,0,11.26,0,0.72
 36-46,0,0,0,0,39.28,0.72,426.93,1.32,1.38,19.93,0,0,1.56,1.17,0,0,1.37,1.08,110.79,0,1.39,37.6,939.2,0,1.17,5.8,0,0,19.93,0,0.86,0,3,0,196.26,0,0,0.91,0,0
 48-58,0,0,0,0,13.14,0,323.31,0,2.42,38.73,0.46,0,5.82,0.41,1.14,0.96,1.7,0,81.64,0.49,3.44,14.79,367.53,0.56,0,1.25,0,0,8.21,0,0,5.81,0,0,42.83,0,0,3.68,0,6.27
 60-70,0.81,0,0,0,9.33,0.72,198.61,0,1.6,30.63,4.95,0,1.57,4.15,8.53,0,0,0,58.33,0,0,18.18,176.53,0,1.56,2.66,0,0.84,3.5,0,0,0,0,0,10.87,0,0,6.68,0,4.97
 72-82,0,0,1.32,0,13.31,0.9,58.17,0.91,1.57,24.91,1.23,0,1.09,0.51,0,0,0.79,0,53.19,0,2.68,5.21,90.17,1.29,0,3.84,0,0,0.5,0,0,0,0,0,3.94,0.77,0.85,9.54,0,0
 84-94,0,0,0,0,4.47,0.79,65.81,0,0.67,14.5,3.56,0,2.85,0.72,5.2,1.51,0.81,0,30.08,0,1.29,10.15,63.99,0,0.97,3.66,0,0,1.14,0,0,0,0,0,1.5,0,0,11.26,0,0
 96-106,0,0,0,0,11.43,15.62,46.31,0,0.65,22.15,1.88,0,0,3.1,0.56,0,0,0,23.39,0,0,2.14,85.82,0,0.99,0,0,0,16.89,4.52,0,0,0,0,0,0,0,19.09,0,0
108-118,0,0,0,0,18.26,1.12,47.53,0,2.32,28.25,1.9,0,0,6.87,1.88,3.19,0,3.46,35.33,0.53,1.97,6.05,99.59,0,0.46,1.37,0,4.4,10.35,0,0,0.46,0,0,2.39,0,0,3.44,1.59,0
120,0,0,0,0,12.5,8.59,105.81,0,1.66,17.12,1.19,0,4.17,9.5,0,2.88,0,0,54.85,0,9,12.84,130.77,0,2.92,0,0,0,1.37,0,0,0,0,0,12.86,0,0,5.21,6.92,0
