stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,ionocyte,iridophores,liver,mesenchyme,neural,notochord,pronephros,spinal_cord,xanthophores
  5-6,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,1.06
 24-34,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,12.55
 36-46,0,0,0,0,0,0,0,0,0,0,2.18,0,0,0,53.68
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.72
 60-70,0,0,1.3,0,0,0,0,0,0,0,2.31,0,0,0,64.22
 72-82,0,0,3.26,3.27,1.71,3.87,0.64,0.85,0,0,2.85,0,0,1.51,38.92
 84-94,0,0.73,5.85,0,7.44,13.73,0,0,0,2.89,3.06,0,0,0,11.81
 96-106,0,0,0,0,0,10.75,0,0,10.64,1.25,0.59,0,0.69,0,13.41
108-118,0,0,0,0,0,18.06,0.72,0,2.23,0.9,3.73,0,0,0,6.97
120,0,0,0,0,0,31.63,0,0,0,0,1.5,0,0,0,0
