stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0,0,0
  5-6,28.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.48,0,0,0,7.03,0,0,0,0,0,41.62,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,12.98,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,1.39,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.76,16.2,2,0,2.66,0,0,2.11,0
 36-46,0,0,0,0.56,0,0,0,0,0,0,0.63,0,0,0.94,0,0,2.18,1.09,0,0,0
 48-58,0,0,0,2.19,0,0,0,0,0,0,1.4,0,0,0.4,0,0,0.96,1.52,0,0,0
 60-70,0,0,0,1.1,0,0.94,0,0,0,0,0.62,0,0,2.45,1.76,0,0,0,0,0,0
 72-82,0,0,0,3.29,0,4.91,0,0,0,0,2.2,0,0,13.31,0,0,1.57,3.9,0,0,0
 84-94,0,0.65,0,0,0,0,0,0,0,0,0,1.38,0,20.84,0,0,4.29,0,0,0,0
 96-106,0,0,4.52,1.63,0,2.01,0.64,0,0,0,2.4,0,0,0.61,0,0,8.93,0,0,2.17,0.64
108-118,0,0.49,0,0,0.61,0,0,0,0.63,0,3.18,0,0.61,4.37,0,0,3.44,0,2.05,0.55,0
120,0,2.64,0,12.87,0,0,0,0,0,2.66,0,0,0,2.96,0,0,6.64,0,0,0,0
