stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,727.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.85,0,0,0,0,0,0,0,0,0,0
  5-6,20.44,451.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,14.06,0,0,0,0,46.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.07,4.17,0,0,87.18,0,18.02,0,0,0,0,0,0,0,0,0
 10-12,0,11.54,0,0,0,0,22.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,4.6,0,0,102.71,0,4.94,0,3.53,0,4.75,0,0,0,0,0
 14-21,0,0,2.25,14.44,0,0,3.94,0,0,4.82,0,12.81,0,0,0,0,0,0,0,9.35,0,12.45,122.93,0.84,0,0,2.92,2.24,0,13.16,0.9,10.05,29.51,22.28,0,2.65,0,0
 24-34,0,0,0,4.25,0.61,0,34.25,0,0,2.98,0,0,2.15,0,0.63,0.63,0,0,0,19.52,0,7.39,183.62,0,0,1.98,0,4.38,0,0,1.87,0.74,1.78,38.47,0,11.05,0,0.91
 36-46,0,0,0,10.62,0,0,32.34,0,1.17,1.71,0,0,0,0,0,0.65,0,0,0,8.35,0,1.18,113.68,0,1.34,0,0,3.77,0,0,0,0,0,15.63,0,0,0,0
 48-58,0,0,0.4,9.05,0,0,84.49,2.54,0,7.71,0,0,0,0,0,0,0,0,0,13.47,0,3.21,37.55,0,1.54,0,0,3.56,0,0,1.33,0,0,5.18,0,2.44,0,6.79
 60-70,0,0,0,7.23,0,0,48.77,0.7,0,14.51,2.23,0,0,4.15,0,0.98,0,1.35,0,20.65,0,0,32.31,0,0,0.81,0,0,0,0,0,0,0,6.92,0,0,0.73,5.13
 72-82,0,0,0,0.49,0,0,48.99,0,0,15.38,0,0,0,0,0.7,0,0,0,0,37.46,0,4.56,16.68,0.5,0,0,0,2.97,0,0,2.98,0.53,0,5.68,0,4.86,0,1.17
 84-94,0,0,0,1.73,0,0,37.56,1.13,0,6.38,1.23,0,0,0.87,0,1,0,0,0.99,39.21,0,2.53,40.05,0,0,0,0,1.42,0,0,4.19,0,0,0,0,5.37,0,0
 96-106,0,0,0,0,0,0.8,40.23,0,0,9.87,0,0,1.47,0,0,0,1.11,0,0,21.84,0,0,10.71,0,0,0,0,0,0,0,3.24,0,0,0,0,5.74,0,0.73
108-118,0,0,0,4.61,2.22,0,29.29,0,1.07,15.08,3.49,0,0,0,0,1.77,0,0,0,30.04,0.92,1.98,28.57,0,0,0,0,0,0,0,2.57,1.64,0,0,0.55,4.27,0,0
120,0,0,0,5.62,0,0,34.98,3.26,0,6.25,0,0,0,1.01,0,7.62,0,0,0,3.57,0,4.47,23.2,0,0,0,0,0,0,0,3.26,0,0,2.54,0,0,0,0
