stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,99.45,1539.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,1393.08,15763.27,0,196.85,0,0,0,0,0,0,0,67.26,0,0,0,0,0,0,0,0,0,0,7466.95,13.91,0,0,2871.1,19.03,0,0,0,0,0,0,0,0,0
  7-9,159.95,2379.62,0,1228.2,0,0,0,302.29,0,0,0,291.67,0,0,0,0,0,0,0,0,0,0,5054.32,842.78,0,0,108062.86,0,36.5,0,12.75,0,0,0,0,0,0
 10-12,0,1423.56,0,3028.52,0,5.34,0,242.05,0,0,0,151.61,0,0,0,0,0,9.05,0,0,0,0,6267.07,425.93,0,0,115062.49,11.95,10.34,47.02,724.2,0,375.69,0,0,0,0
 14-21,0.89,80.76,0,0.83,45.86,164.47,0,15.84,0,5.76,0,6.62,0,0,9.87,0,0,11.44,0.94,24.17,0,153.71,695.51,65.68,2.04,0.89,1782.43,22.01,0,48338.36,6.03,220.08,8561.71,129.4,0,4,1.92
 24-34,0,0,0,0,5.14,3.97,0,17.72,3,5.67,0,0,0,0.71,0,0,1.39,0.65,0,34.26,0,2.3,317.47,3.46,3.61,0,0,6.22,0,11.32,2.15,0,2072.33,60.75,0,1.7,0
 36-46,0,0,0,0,0.68,2.13,0,39.34,0,10.53,0,0,0,0,0,0,0,0,0,13.22,0,5.3,141.76,1.88,1.49,0,0,1.34,0,0,0,0,5,32.09,0,0,0
 48-58,0,0,0,0,0,0,0,37.28,2.02,7.59,0,0,2.41,0,0,0,0,0,0,42.41,0,3.09,88.9,2.53,0.91,0,0,2.96,0,0,0,0,0,16.76,0,0.61,0.91
 60-70,0,0,0,0,1.1,0,0,18.03,0.68,1.86,0,0,0,2.38,0,0,0,0,0,36.67,0,0,51.12,4.17,0.92,0,0,4.93,0,0,1.17,0,0,3.35,0,1.82,0
 72-82,0,0,0,0,3.19,0,0,16.6,0,6.53,0,0,0,7.16,0,0,0,0,0,19.93,2.17,5.45,34.7,0,0,1.68,0,0,0,0,0,0,0,18.39,0,1.29,0
 84-94,0,0,1.16,0,4.27,7.56,0,5.59,3.22,8.26,2.43,0,0,4.48,0,0,0,0,0,20.95,2.37,0.58,15.67,0.67,8.03,1.46,0,3.16,0,0,1.12,0,0,11.27,1.46,8.16,0
 96-106,0,0,0,0,1.85,0,0,23.99,0,7.91,1.32,0,0,0,0,1.48,0,0,0,8.38,0,0.78,18.11,0,3.71,0,0,0.92,0,0,0,0,0,1.71,0,0,0
108-118,0,0,0,0,5.77,1.47,0,10.72,0.83,5.94,0,0,0,2.59,0,0,0,0,0,7.3,2.1,1.97,49.82,0.72,0.96,0.43,0,0,0,0,0,0,0,2.28,0,1.99,0
120,0,0,0,0,0,1.35,1.71,12.29,1.61,5.86,0,0,0,5.1,0,0,0,0,0,3.93,0,1.46,52.03,0,2.28,0,0,4.44,0,0,0,0,0,0,0,0,0
