stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,iridophores,mesenchyme,mural_cell,neural,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,18.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.14,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.27,0,5.44,0,0,0,0.91,1.01,2.73,0,0
 24-34,0,0,0,0,0,0,0,0,0.98,0,13.84,0,0,0,0,0,1.65,0,0
 36-46,0,0,0,0,6.56,0,0,0,4.12,0,12.21,0,0,0,0,0,4.75,0.81,0
 48-58,0,0,0,0,7.28,0,1.02,0,0,0,18.22,0,0,0.44,0,0,2.34,0,0
 60-70,0,0,0,0,18.07,0,4.18,0.82,0,0,12.8,0,0.68,0,0,0,1.36,0,0
 72-82,0,0,0.75,0,9.82,1.14,1.08,0,1.72,0,19.22,1.19,0,0,0,0,2.2,0,0
 84-94,0,0,0,0,4.44,0,0,0,0,1.44,1.85,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.77,4.58,0,0,0,0.97,0,6.78,0,0,0,0,0,0,0,0
108-118,0,0,0,0,4.43,0,0,0,0,0,3.04,0,0,0,0,0,0,0,3.15
120,0,0,0,0,1.2,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0
