stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,pericytes,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,0,14.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.3,84.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,30.62,0,0,0,0,0,0,0,9.81,0,0,0,0,0,0,0
 14-21,0,0,0,1.1,0,0,0,0,0,0,0,36.94,0,0,0,0,0,0,0,5,0,0,0,1.11,0,0,0
 24-34,0,0,0.75,1.63,0,0,0,0,0,0,0,24.2,0,0,0,0,0,13.26,0,13.78,0.71,0,0,0,0.7,0,0
 36-46,0,0,0,0,0.58,0,0,0,0,0,3.67,11.07,0,0,0,0,0,30.79,0,11.97,0,0,0,0,0,0,0
 48-58,0,0,0.68,0,0,0,0,0,0,0.9,1.63,16.11,0,8.76,0,0,0.48,37.78,0,30.52,0,0,0,0,0,0,0
 60-70,0,0,0.91,0,0,0,2.07,0,0,0,0,2.33,0,27.24,0,0,6.29,49.32,0,9.91,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.16,0,1.63,0.96,0,5,7.33,2.62,0.63,0,0,58.75,93.17,0,11.16,0,0,0,0,0,0,0
 84-94,0,0,3.98,1.37,0,0,1.78,1.09,0,0,3.54,11.82,0,0.58,0,0,83.82,85.38,0,0,0,0,0.57,0,0,0,0
 96-106,0,0,4.45,0.66,0,0,10.06,0.67,0,0,12.56,2.64,14.19,0.94,0.77,7.69,58.7,84.16,0,3.59,0,0,1.6,0,0,2.17,0.69
108-118,0,0,2.88,0.72,0,0,0.9,0.44,0,0,17.21,0,14.72,1.64,0,0,27,58.51,0,6.01,0,0,0,0,0,0,0
120,0,0,0,10.61,0,0,0,0,0,5.23,4.37,0,42.03,0,0,4.22,47.42,21.92,2.53,30.71,0,0,4.76,0,0,2.7,0
