stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,4.31,0.86,4.27,0,0,0,1.6,0,1.19,0,0,0,0,0,0,2.07,8.95,0,0,3.41,76.12,0.82,0,6.05,0,1.88,1,0.85,34.55,0,0,0
 24-34,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,1.14,0,0,6.01,7.21,0,0,1.09,92.2,0,0,34.6,3.63,0,6.69,0.81,21.64,0.72,0,0.62
 36-46,0,0,0,0,5.83,0,1.71,0,1.67,0.66,0,0,2.68,0,0,0,0,4.14,8.5,0,0,0,73.06,0,0.87,21.56,0,0,18.31,0,6.59,0.63,0,2.73
 48-58,0,0,3.29,0,16.15,0,0,0,26.92,0,0,0.77,0,0,3.7,0.51,1.04,1.22,15.94,0,0,0.76,64.66,0.39,1.11,47.4,0,0,4.2,0,13.77,0,0,16.33
 60-70,0,0,0.7,0,16.47,0,0.79,0,113.23,0,0,0,0.57,0,0,0,0.95,0,12.21,0.73,0,0,65.66,0,0,42.09,4.21,0,4.86,0,7.65,0,0,22.69
 72-82,0,0,1.41,0,46.13,0,0,0,321.87,1.75,0,0,0,0,0,6.93,2.43,0,48.44,0,0,1.06,136.05,0,0,86.31,2.5,0,6.14,0,9.41,0,0,7.97
 84-94,0,0,1.22,0,32.98,0,0,0.85,279.18,0.62,0,0,0,0,0,9.72,3.74,0,13.09,0,4.23,0,118.5,0,8.48,111.8,2.19,0,8.63,0,0,1.62,0,4.87
 96-106,0.61,0,6.86,3.54,16.17,0,0,0,431.31,0.67,0,0,0.59,0,0,14.35,7.53,1.43,15.49,0.68,1.38,0,72.63,0,3.83,121.84,6.18,0,9.56,0,4.24,3.04,1.31,1.7
108-118,0,0.95,6.12,1.66,24.18,0,1.68,0,449.32,2.09,0,0,0,2.71,0,9.33,4.48,2.17,32.52,0,0,0.99,74.79,0,0.59,126.82,3.23,0,5.95,0,0,3.56,0,1.19
120,0,0,0,0,7.47,1.18,0,0,505.06,0,0,0,0,0,0,17.82,5.02,0,30.17,0,0,0,166.17,0,2.34,125.21,5.93,0,0,0,12.11,0,0,9.95
