stage,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
 14-21,1.93,4.94,4.62,1.94,1.78,0,0,0,1.56,0,82.73,2.69,0,0.85,3.53,8.85,15.25,30.67,0,0
 24-34,1.99,1.31,6.41,8.52,0.78,0,0,0,4.06,0,39.55,0,0,0,1.96,0,0.66,6.46,2.29,0
 36-46,0,0,0,13.13,0,0.57,0,0,4.72,2.52,39.51,0,0.88,0,0,0,0,3.51,0,0
 48-58,0,6.4,0,15.66,5.83,0,0,0,1.7,1.51,21.2,0,0,0,0.97,0,0,0.99,0,0
 60-70,0,0,0,14.09,1.26,0,0,0,2.36,0,43.29,0,0,0,6.31,0,0,2.04,0,0
 72-82,0,0.5,0,18.98,3.36,0,0,0,1.57,0.58,49.77,0,0,0,0,0,0,2.82,0,4.97
 84-94,0,0,0,20.94,0,1.31,0,0,5.67,0.7,32.41,0,0,0,2.36,0,0,0,0,0
 96-106,0,1.9,0,10.42,3.78,0,0.57,8.31,0.93,0,7.8,0,6.15,0,3.99,0,0,0,0,0
108-118,0,0.47,0,5.44,1.47,0,0,0,0.67,0,7.41,0,0,0,0,0,0,0,0,0
120,0,1.4,0,3.55,0,0,5.04,0,0,2.74,18.96,0,0,0,7.9,0,0,0,0,0
