stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  3-4,0,107.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.01,123.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.87,6.85,0,0,0,10.02,0,0,8.9,0,0,0,96.3,0,0,34.88,0,0,0,0
 10-12,0,0,7.03,0,0,0,0,0,0,0,0,0,59.61,4.18,0,20.71,0,4.37,0,0
 14-21,0,0,0,0.82,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0.87,0
 24-34,0,0,0,0,0,0.78,0,0,0,0,0,1.08,19.5,0,0,0,0,0,4.34,0
 36-46,0,0,0,0,0,2.23,0,0,0,1.53,0,0,24.26,0,0.84,0,0,0,0,0
 48-58,0,0,0,0,0,11.22,0.67,0,0,0,0,0,26.01,0,0,0,1.25,0,6.09,0.99
 60-70,0,0,0,0,0,17.82,0,0,0,7.54,0,0,26.97,0,0,0,0,0,0.94,0
 72-82,0,0,0,0,0,10.29,0.58,0,0,1.22,0,0,25.24,0,0,0,0,0,3.23,0
 84-94,0,0,0,0,0,13.75,2.94,0,0,0.86,8.6,1.53,13.34,0,0,0,0,0,2.99,2.81
 96-106,0,0,0,0,7.72,4.41,0,1.13,0,0,0,0,18.5,0,0,0,0,0,0,0
108-118,0,0,0,0,1.3,7.22,0.81,0.67,0,0.93,0,0,20.44,0.47,0,0,0,0,0,0
120,0,0,0,1.69,1.31,1.95,0,0,0,0,0,0,42.58,0,0,0,0,0,0,0
