stage,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 10-12,12.12,0,0,0,0,0,0,0,0,0,0,0,0,13.15,0,0,9.22,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.99,0,0,0,0,1.1,4.46,0.89,0,0,0,0,0.85,7.46,3.24,3.99,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.25,0,0.93,10.19,16.34,0,0,0,7.07,0,4.02,6.32,3.2,0,0,0
 36-46,0,0,0,0,13.37,0,0.68,0,0,0,0,0.59,21.47,24.86,1,0,0,0.98,0,19.11,0.74,2.47,0,0,0
 48-58,0,0.78,0,1.81,24.37,0,0,0,0,0,0,1.52,0.4,40.51,6.76,0,0,0,0,2.62,0,4.94,1.07,0,0
 60-70,0,0,0,4.82,15.81,0,11.57,0,0,0,0,1.92,2.48,28.88,0,0,0,0,0,9.89,0,2.47,10.18,0,0
 72-82,0,0,0,9.63,9.38,0,0,0,0,0,0,7.15,4.46,12.96,0,0,0,0,0,1.7,0,0,0,0,0
 84-94,0,8.53,0,9.97,17.52,0,4.82,0,0.79,0.91,0.67,3.77,8.06,13.73,0,0,0,0,0,11.1,0,0.59,0,0,0
 96-106,1.03,0,0,34.21,22.83,0,5.34,0,0,4.38,0,13.62,2.12,33.24,0,1.22,0,3.26,0,3.7,0,0,0.57,0,5.1
108-118,0,1.06,6.59,15.01,16.13,0,3.38,5.66,0,1.88,0,12.57,8.2,23.92,0,0,0,2.02,0,13.2,0,0,0,0.44,0
120,0,0,0,7.62,25.32,1.69,0,10.73,0,0,0,0,11.68,18.51,0,0,0,0,0,1.21,0,0,0,4.8,0
