stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,1.42,0,0,1.72,0
 24-34,1.05,0,0.69,0,0,1.39,0.74,3.31,1.13,1.44,0,0.71,27.45,0,1.65,2.19,0,1.63,0.72,7.76,0
 36-46,12.27,0,0,0,0,0,0,11.74,0,2.11,0,0.87,25.64,0,0,0,0,7.71,0,2.64,0
 48-58,1.06,0,1.83,1.02,0,0.73,0,13.36,0,1.01,0,0,3.86,0,0,0,0,2.5,0,2.28,0
 60-70,0,0,0,0,0,3.39,0,0,0,1.89,1.82,0,42.68,0,0,0,0,2.94,0,1.29,0
 72-82,2.56,0,2.03,0,8.97,3.06,0.63,3.73,0,6.64,0,0,1.96,1.29,0,0.5,0,0,0,1.26,0
 84-94,0,0,2.35,0,0,1.12,0,1.34,0,7.77,0,0,0.64,0,0,2.66,0,0,0,0,0
 96-106,0,5.55,0,0,0,0,0,1.29,0,1.3,0,0,0,0,0,0,0,0,0,0,0.78
108-118,0.53,1.12,0.87,0,0,3.79,0,5.06,0,7.77,0,0,1.68,0,0,0,0,0,0,0,0
120,3.67,2.01,4.23,0,0,0,0,3.34,0,18.27,0,0,7.5,0,0,1.01,0,1.64,0,0,0
