stage,axial,blastomeres,eye,glial,hatching_gland,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,41.02,148.86,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,251.12,0,0,0,0,0,0,13.76,0,0,0,0,0
  7-9,0,0,7.79,0,4.41,0,0,0,41.99,4.19,20.27,0,0,0
 10-12,0,0,3.66,0,6.61,0,0,0,35.97,0,4.38,0,0,0
 14-21,0,0,0.99,0,0,0.97,0,0,4.68,0,0,0,0.86,1.91
 24-34,0,0,0,0,0,0,0.89,2.25,9.32,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.74,0,0,2.65,0,0
 48-58,0,0,3.64,0,0,0,0,0.98,3.19,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,4.68,0,0
 84-94,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0
108-118,0,0,0,0.49,0,0,0,0,1.72,0,0,0,0,0
120,0,0,0,0,0,0,5.14,0,19.27,0,0,0,0,0
