stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,71.36,0,0,0,0,0,0,0,0,0,0,0,0,4.86,0,0,0,0,0,0.69,0,0,1.76
 48-58,0,0,0,1151.15,2.9,0,3.31,0,0,0,0,0,0,1.38,10.68,0,63.24,0,0,0,0,0,9.07,0,0,0.66
 60-70,0,0.71,0,1982.88,0,4.58,6.43,0,1.33,0,0,0,0,7.94,0,2.07,107.52,4.08,0.62,0,1.35,0,8.67,0.65,0,5.57
 72-82,3.62,2.07,0,1143.37,0,0,10.91,1.08,5.05,0,0,0,0,1.32,0,0.61,41.76,0,0.52,2.1,0,0,2.4,1.95,0,4.81
 84-94,4.34,0,0,664.21,0,0,20.64,0,6.65,0,0,0,1.22,3.15,0,0,94.27,0,0,1.18,0,0,0,0.85,1.13,1.4
 96-106,4.99,0,0,611.23,1.74,0,19.48,0,0,0.86,5.55,0,0,3.45,0,0,91.05,0,0.65,2.65,0,1.07,1.77,0.9,0,0
108-118,0.73,7.28,1.22,546.48,0,0,16.75,0,0.51,0,0,1.69,0.76,3.13,0,0,52.58,1.47,2.01,2.32,0,0,0.47,0,0,0.49
120,0,0,0,339.32,0,0,0,0,0,0,0,0,3.24,0,0,7.33,138.09,0,0,0,0,0,47.4,0,0,0
