stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,74.75,1533.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.64,0,0,0,0,0
  5-6,25.05,754.76,0,0,0,0,0,0,0,0,0,0,0,29.01,0,0,0,7.41,0,0,0,0,0
  7-9,5.87,4.44,3.58,0,0,9.93,0,0,0,0,0,0,0,66.85,0,0,27.13,0,5.5,0,0,0,0
 10-12,0,0,27.22,0,0,4.73,0,0,0,0,0,0,0,56.29,0,0,8.17,0,0,0,0,0,0
 14-21,0,0,0,3.07,1.37,0.87,0,0,0,0,0,0,2.84,4.55,1.79,0,0,0,0,5.03,0.99,1.07,6.31
 24-34,0,0,0,0,0,1.42,0,0,0,0,1.58,0,0,5.8,0,0,0,0,0,0,0,0.6,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.1,1.94,0,3.23,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,2.34,0.47,0,3.37,0,0.43,0,0,1.52,0,0.7,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.69,9.59,0,0.6,0,0,0,5.79,0,5.41,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.21,4.31,0,0,0.5,0,0,0,2.32,0,4.93,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.67,0.59,0,0,1.88,1.19,0,0,0.56,0,19.38,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.99,0,0,0.63,2.32,0.93,0,0,1.14,0,19.83,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,6.29,0.74,0,0,0,0,15.14,0,0,0,0,0,0,0
120,0,0,0,0,0,0,5.45,0,0,1.54,0,0,0,0,0,31.01,0,0,0,0,0,0,0
