stage,eye,glial,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,taste
 14-21,0,0,0,0,4.71,0,0,2.04,0
 24-34,0,0,0,0,26.16,1.36,0,15.6,0
 36-46,8.78,0,0,0.84,45.09,0,0,18.37,0
 48-58,41,0,0,0,94.41,0,0,12.6,0
 60-70,100.36,0,0,0,102.52,0,0,28.19,0
 72-82,67.9,2.72,1.98,0,64.25,0,0,12.53,0
 84-94,43.35,0.57,6.05,0,63.45,0,0,2.63,0
 96-106,32.64,0,1.05,0,43.32,0,0,0,2.04
108-118,48.53,1.97,0,0,50.87,0,0.6,0.95,0
120,50.84,0,0,0,90.57,0,0,0,0
