stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,16.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.03,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0.9,0,1.45,32.32,0,1.03,0,0,0,0,0,26.27,0,0,0,0
 24-34,0,0.66,0.68,0,0,1.74,0,0,0,4.82,0,0,0,0,0,0,0,0,0,2.33,0.79,1.83,353.79,10.04,3.6,0,0,2.65,0,0,82.87,0,0,0,0
 36-46,0,0,2.13,0.84,0,14.63,0,0,0,15.39,0,1.26,0,0,0,0,0,0,0,2.97,0,2.5,1119.92,0.6,4.16,0.84,0,0,0,0,198.78,0,0,0,0
 48-58,0,0,7,0,0,131.28,0,2.11,0,12.95,0,0,0,0,0,0.94,0,0,3.07,12,7.16,0.93,1577.6,1.53,0,0,0,0,0,1.2,193.51,0,0,1.65,2.51
 60-70,0,0.62,17.28,0,0,509.91,0,0,0,44.81,0.63,0,0,3.84,2.84,2.01,0.66,0,0,5.8,1.75,1.6,2699.85,0,0,0,0,0.64,0,0,269.59,0,0,2.37,0
 72-82,0,0,8.18,0.57,0,560.05,2.65,4.54,0,40.64,1.41,0,0.66,0,0,0.49,0,0,0,19.41,0.77,7.8,1495.33,0,0.91,0,2.36,0,0,0,138.83,0,0,0,0
 84-94,0,11.23,7.81,0,1.52,348.15,0,1.69,7.79,57.25,1.83,0,0,0,1.52,1.38,0,0.64,0,18.23,3.92,0,1062.73,2.22,0,0,0,2.27,0,0,136.23,0,1.8,5.56,0
 96-106,0,1.36,6.43,1.48,0,318.45,0,0,0,30.12,5.84,0,0,1.61,0,1.56,0,0,1.26,10.63,1.23,0.72,769.28,0,0,1.27,0,0,0.63,0,41.04,0,0,1.82,0
108-118,0,0,13.43,0,0,214.1,0,4.62,0,54.12,3.22,0,0,0,1.06,3.33,0,0,0,7.04,2.53,0,1022.51,0.8,3.31,0,0,0,0,0,40.13,0.68,0,0,2.59
120,0,8.41,4.85,0,14.01,176.92,0,0,0,72.32,1.78,0,0,0,0,5.34,0,0,0,6.49,0,0,1411.16,0,0,0,0,1.42,0,0,4.72,0,0,0,0
