stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,45.46,459.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.96,0,0,0,0,0,0,0
  5-6,95.23,2068.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.89,10.72,0,0,40.72,0,0,0,0,0,0,0
  7-9,38.4,32.54,63.95,0,0,170.46,0,0,0,36.93,0,0,0,0,0,0,1129.41,71.04,0,414.92,0,0,0,0,0,0,0,0
 10-12,0,62.1,13.23,0,14.07,133.46,0,0,0,16.94,0,0,0,0,0,3.87,813.8,78.91,0,324.44,4.05,5.95,0,55.06,0,0,0,0
 14-21,0,0,0,3.45,0,1.94,0,0.92,0,0,0,10.89,0,0,2.35,0.81,22.55,0,0,0,0,0,2.61,0,0.85,0,0,0
 24-34,0,0,0,0,0,2.13,0,0,0,0,0,0,0,0,2.88,0,8.12,0,0,0,0,0,0,0,0.93,3.97,0,0
 36-46,0,0,0,0,0,9.19,0,1.07,0,0,0,0,0,0,0.65,0,15.73,0,0,0,0,0,0,0,0.69,0.62,0,0
 48-58,0,0,0,0,0,29.7,0,0,0,0,0,0,0,0,1.43,0,13.34,0,0,0,0,0,0,0,0,4.01,0,1.42
 60-70,0,0,0,0,0,340.69,1.98,5.56,0.95,0,0,0,0,0,1,0,16.66,0,0,0,0,0,0,0,0,0,0,5.4
 72-82,0,0,0,1.17,0,610.24,0,12.42,0,0,1.17,0,2.06,0,4.34,0,40.25,0,0.54,0,0.7,0,0,0,0,3.18,0,0
 84-94,0,0,0,0.66,0,501.83,0,15.93,0,0,0,0,0,0,4.05,1.57,24.03,0,0,0,0.6,0,0,0,0,1.47,0.8,0
 96-106,0,0,0,1.32,0,710.8,0,3.26,0.85,0,0,0,0,0,2.5,0,22.9,0,0.74,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.27,0,400.01,0,5.04,0,0,0,0,0,3.18,2,0,19.81,0,0,0,2.07,0,0,0,0,0,0,0
120,0,0,0,0,0,126.65,0,1.51,0,0,0,0,0,0,0,0,33.74,0,0,0,0,0,0,0,0,0,0,0
