stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,mesenchyme,neural,otic,periderm,somites,spinal_cord,vasculature
 14-21,0,0.99,0,0,0,0,1.3,0,0,0,0,0
 24-34,0,0,1.35,0,0,0,4.15,0,0,0.72,0,0
 36-46,0,0,0.61,0,0,0,2.61,0,0,0,2.01,0
 48-58,0,0,7.42,1.27,0,0,2.07,0,0,0,1.71,0
 60-70,0,0,130.32,1.38,0,0.86,0,0,0,0,0,0
 72-82,0.97,0,284.44,0,0.98,2.7,15.62,0,0,0,2.86,0
 84-94,0,0.92,153.07,0,4.03,0.77,6.01,0,0,0,0,0
 96-106,0,0,304.56,0,2.15,0,8.72,0.85,0,0,0,0
108-118,0,0,223.98,0,5.81,0,8.95,0,0,0,0,0
120,0,0,220.5,0,4.08,0,14.29,0,1.81,0,0,1.23
