stage,eye,muscle,neural,spinal_cord,taste
 24-34,0,0.94,0.66,0,0
 48-58,0,0,7.92,0.79,0
 60-70,0.99,0,2.62,0,0
 72-82,0,0,2.89,0,0.74
 84-94,0,0,10,0,0
