stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,14.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.75,3.27,0,0,5.78,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.13,0,7,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,0,0,2.43,0,0,0,0,1.37,13,0,2.27,0,0.91,0,0.99,0,0,0,0,0
 24-34,0,0,1.88,0,0,0,0,0,0,0,0,1.38,8.67,0,0.98,1.3,0,7.01,2.16,0.69,0,23.37,0,2.25,0,0,0,0,0,0
 36-46,0,0,3.49,0,0,0,0,0,0.95,0,1.51,1.06,16.53,0,0,0,0,0,0,0,0,36.74,0,0,0,0,0,0,0.88,0
 48-58,0,0,3.8,0,1.65,3.52,0,0,1.92,0,0,0,2.75,0,0,0,0,1.8,1.01,1.84,0,44.46,0,0,0,1.46,0,0,0,0
 60-70,0,0,0.99,0,0,0,0,0,1.84,2.38,0,0,0,1.16,0,0,0,1.62,0,0,0,39.66,0,0,0,0,0,0,0,0
 72-82,0,0,2.91,0.5,2.5,0,2.19,0,1.14,0,0,6.21,2.28,1.23,1.87,1.16,0,8.56,1.43,0,0,21.08,0,0,0,0,0,0,0,3.79
 84-94,0,0.81,3.14,0,1.35,0,0,0,3.96,0,0.76,6.9,4.47,0,2.84,0,1.29,1.59,0,0.66,0,75.13,0,1.32,0,0,0,0,0,0
 96-106,0,0,4.37,0,5.32,0,0,0,0.67,0,0,11.9,4.04,0,3,0,0,1.88,0,1.64,0,53.27,0,0,0,0,0,0,2.41,0
108-118,0,0,23.55,0,5.35,0,1.17,0,5.33,0,0,9.12,7.73,0.62,2.09,1.47,0,8.77,0,0,0,41.59,0,0,0,0,1.37,2.27,0,0
120,0,0,39.54,7.62,11.49,0,11.94,5.79,17.83,0,0,34.39,10.25,0,0,0,0,4.45,0,3.97,0,93.68,0,2.27,0,0,0,0,2.82,0
