stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,15.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.69,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.86,2.44,1.53,0,3.19,0,0,0,0.87,0,0,0,0,0,0.83,0,3.42,26.42,0,0,0,0,0,0,0,9.79,4.14,0,0,0,0
 24-34,0,0.75,0,0.9,0,0,4.02,0,3.83,0,1.93,0,0,0,0,0,3.42,0,3.42,39.27,0,0,0,0,0.7,0.63,2.68,0,12.04,0,10.26,0,0
 36-46,0,0,0,0.92,0,0,11.35,2.26,2.28,0.67,6.19,0,0,0,0,0,12.43,0,5.92,52.58,0.69,0,0.59,0,2.37,0,4.33,0,14.15,0,1.62,0,1.19
 48-58,0,0,0,3.99,0,0,7.88,3.41,1.87,1.54,7.17,0,0,2.85,0,1.22,11.59,0,1.7,17.34,0,0,1.07,0,2.99,0,1.9,0,15.19,0,1.22,0,0
 60-70,0,0,0,6.7,0,0,21.04,0.83,0.69,0.72,8.33,0,0,0,0,0,28.45,0.59,2.33,19.82,0,0,0,1.21,2.75,0,2.66,0,3.7,0.71,2.1,0,0
 72-82,0,0,0,1.51,10.47,0,11.13,0,5.82,0,6.24,0,0,0,0,0,20.67,0,0,19.96,0,0.88,3.59,0,1.5,0,0,0,10.69,1.01,0.93,0.56,0
 84-94,0,0,0,3.71,7.41,0,1.39,0,0,0.77,6.75,0,1.02,1.4,0,0,11.3,0,0,19.57,0,0,5.05,0,8.46,1.11,2.73,0,0,0,3.01,0,0
 96-106,0,0,0,8.42,5.52,0,10.48,0,0,0,18.3,1.54,0,0.62,0,0,7.38,0,0.81,2.45,0,2.29,0,0,21.82,0,5.77,0,2.14,0,1.67,0.8,0
108-118,0,0,0,1.02,7.98,2.23,3.06,1.13,1.14,0,6.07,0,0,0.71,0.84,0,18.26,1.05,3.41,4.02,0,0,3,0,2.02,0,0.86,0,0,0,0,1.75,0
120,0,0,0,0,3.82,0,0,0,0,0,10.01,12.76,0,0,0,0,13,8.17,1.06,12.2,0,0,0,0,1.6,0,1.64,0,0,0,0,0,0
