stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,iridophores,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,21.4,541.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,108.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.29,0,5.08,0,0,0,0,0,0,0,0,0,0,4.27,6.39,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0
 14-21,0,0,0,0,0.89,0,0,0,0,0,0,1.82,0,0,7.4,0,0,1.94
 24-34,0,0,0,0,0,0,0.93,0,0.77,0,0,1.41,0,0,4.07,0,0,0
 36-46,0,0,0,0,0,0,1.8,0.93,0,0,0,1.77,0,0,9.98,0,0,3.16
 48-58,0,0,0,0,0,0,2.62,0,0,3.92,0,0.47,0,0.45,11.8,0,0.39,3.73
 60-70,0,0,0.62,0,0,0,2.12,0,0,0,0,0,0,3.2,5.15,0,0,5.4
 72-82,0,0,0,0,0,1.69,1.94,0.94,0,0,0,2.76,0,0,10.07,0,0,0
 84-94,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,3.71,0,0,0
 96-106,0,0,0,0,0,0,0,1.06,0,0,0,0.62,0,0,4.48,0,0,2.06
108-118,0,0,0,0,0.56,0,0.67,5.38,0,0,0,6.09,0,1.11,13.06,0,0,2.21
120,0,0,0,0,0,0,0,0,0,0,3.84,0,3.7,0,0,0,0,0
