stage,eye,glial,gut,heart,immune,liver,mesenchyme,neural,notochord,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0
 14-21,0,0,0,0,4.87,0,0,1.25,0,0,0,0.81,0,1.95,0,0
 24-34,0,0,0,0,10.35,5.13,0,5.64,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,26.31,0,0,4.79,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,30.72,0,2.45,4.47,0.4,0,0,0,0,0,0,0
 60-70,1.38,0,0,0,47.74,0,0,6.67,0,0,2.77,0,0,1.76,0,0
 72-82,0,0,0,0,28.68,1.4,3.53,0.97,0,1.77,0,0,0,0,0,0
 84-94,0.71,0,0,0,56.49,0,4.05,8.04,0,0,0,0,0,0,0,0
 96-106,0,0,1.16,0.66,48.79,0,0,6.8,0,0,2.62,0,0,0,0.68,0
108-118,4.7,1.29,0.47,0,43.92,0,0.61,1.39,0,0,0,0,1.54,0,0,0.66
120,0,0,0,0,59.2,0,0,6.73,0,0,0,0,0,0,0,0
