stage,epidermis,erythrocytes,eye,glial,ionocyte,mesenchyme,muscle,neural,otic,periderm,presomitic_mesoderm,pronephros,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,5.03,0,0,0,6.84,0,0,0
 14-21,0,0.98,0,0,0,0,0,1.94,0,0,1.91,0,0,0,0
 24-34,0.68,0,0.61,0,0,0,0,5.42,0,0,0,0,0,0,1.93
 36-46,0,0,1.89,0,0,2.35,0,3.46,0,0,0,0,0,0,0
 48-58,0,0,0.68,0,0,0,0,3.5,0,3.3,0,0,0,0,0
 60-70,0.9,0.7,1.58,0,0,0,0,3.24,0,0,0,0,0.85,0.98,0
 72-82,0.77,0,8.99,0.78,0,1.35,0,3.1,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,6.93,0,0,0,0,0,0,0,0,0
 96-106,0,0.64,7.23,0,0.56,0,1.08,5.33,1.56,0,0,0,0,0,0
108-118,0,0,1.81,0,0,0,1.46,5.74,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.5,16.13,0,0,0,0,0,0,0
