stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.82,179.53,19.11,0,23.95,0,2.11,0,20.18,2.86,0,1.66,2.14,5.59,0,0,1.16,5.44,42.87,0,0,38.7,372.06,38.5,2.05,7.99,6.06,0,185.55,1.1,111.8,18.18,7.19,326.7,140.42,0,0,14.38,0,1.41
 24-34,0,2.42,117.72,9.56,0,76.59,0,21.1,7.62,29.14,1.81,0,10.87,6.47,20.28,5.37,11.18,4.6,47.48,103.72,2.9,6.5,43.39,1106.59,14.45,30.75,14.46,0,0,761.42,0,2.17,11.37,4,103.32,318.4,0,0,118.4,0,28.71
 36-46,0,0,76.07,1.12,0,156.57,1.83,23.51,4.1,60.02,1.28,0.76,5.05,11.08,8.32,5.32,5.44,0,32.01,130.48,7.15,0.68,29.38,747.25,15.76,12.46,16.73,0,0,863.94,0,0,37.46,0.67,0.69,291.19,0,0.62,51.93,0,24.23
 48-58,0,0,65.79,3.84,0,194.08,3.4,26.58,5.9,95.92,0.93,0.39,5.15,14.42,6.54,6.33,6.49,5.31,19.9,164.24,2.12,4.33,32.5,368.35,3.31,16.74,24.25,0,1.02,461.59,0,0,0.83,3.13,0,191.96,0,0.81,31.87,0,20.99
 60-70,0.7,0,82.74,1.27,0,129.37,3.75,21.68,11.8,103.26,6.38,6.76,0,23.05,8.55,4.13,10.72,1.2,4.88,201.72,1.82,25.33,30.8,201.07,0,16.56,19.18,0,0,394,0,0,0.68,2.5,0,29.73,0.76,5.37,30.37,0,20.22
 72-82,7.65,0,57.71,43.79,0,113.77,0,21.07,14.99,118.54,13.08,0.91,1.59,21.08,21.01,6.63,14.76,2.13,8.37,327.38,11.06,9.31,24.88,129.9,5.29,36.33,35.79,0,2.36,306.07,0,0,5.94,0,0,22.32,5.26,4.38,68.03,4.28,3.68
 84-94,3.59,0,90.53,89.66,0,93.94,0.7,15.93,5.65,83.19,18.71,6.48,0,21.99,18.74,10.28,7.42,3.27,35.05,224.7,7.59,7.69,17.09,103.51,2.49,30.2,41.82,0,1.53,852.5,0,0,4.19,0.55,0,43.78,13.21,10.13,57.45,8.93,6.83
 96-106,12.68,0,83.52,48.81,0,112.85,3.22,24.93,17.11,116.5,42.03,0,5.2,46.36,31.39,5.27,38.14,6.68,12.39,228.95,12.55,7.83,23.84,140.64,2.96,66.21,45.4,0,2.65,845.32,0,0,1.66,0,0,35.11,17.9,2.7,75.75,2.24,12.06
108-118,8.24,0.44,138.12,26.45,2.24,75.67,3.47,33.19,12.32,134.08,54.7,0,1.65,30.46,32.13,20.01,30.93,3.65,9.52,200.89,15.29,6.08,27.25,160.95,4.05,60.96,45.33,0,2.9,647.18,0,0,3.86,2.05,0,14.74,43.37,4.38,49.07,1.42,5.44
120,17.08,0,169.54,28.12,3.73,65.96,10.16,36.79,7.06,189.74,42.48,0,3.44,28.15,13,21.08,31.32,6.46,17.9,276.99,3.53,2.4,17.22,162.51,0,42.79,52.93,0,8.46,510.1,0,0,19.25,1.69,0,17.29,19.8,0,36.66,14,0
