stage,epidermis,eye,glial,gut,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,vasculature
 36-46,0,0,0,0,1.59,3.55,4.89,0,0,0,0,0.63
 48-58,0,0,0,0,0.54,0,6.32,2.93,0,0,0,0.44
 60-70,0,0,2.71,4.04,4.63,0,0,0,0,0,0,6.46
 72-82,0,0.98,3.59,0,6.81,4.39,0,0,0,0,0.55,3.37
 84-94,0,0,0,0,8.17,0,0.71,0.89,0.83,0,1.62,0
 96-106,2.76,0,1.41,0,4.14,0,0,0,0,0,0,0
108-118,0.46,0.42,1.78,0,8.33,0,0.93,0,2.98,0.74,0,0
120,5.43,0,0,0,6.29,0,19.16,0,0,0,0,0
