stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,137.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0
  5-6,0,246.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.36,20.51,0,22.95,0,0,90.44,0,0,0,0,0,0,0,0,0,0,0,0,395.7,11.6,0,0,148.01,0,0,0,0,0,0,0,0,0
 10-12,0,18.44,0,0,0,0,43.27,0,0,0,0,0,0,0,0,0,0,0,0,259.15,7.87,0,0,127.05,4.05,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,0.8,3.07,0,2.91,0,0,1.71,0,0,0,0,0,0,0,0,1.94,31.89,0,0,0.82,0,0.89,0.81,1.66,0,2.38,9.32,0,0,0
 24-34,0,0,0,0,0.62,0.8,6.54,0,0,2.16,0,0,0,0,0,0,2.7,0,0.86,97.9,0,2.01,0.64,0,0,0,0,0,1.94,19.42,0,0.62,0
 36-46,0,0,0,0,0,0,7.35,0,0,4.48,0,0,1.43,0.62,0,0,1.62,0,0,57.1,0,0,0,0,0,0,2.03,0,0,13.66,0,0.68,0
 48-58,0,0,0,0,0,0,19.92,0,6.67,0.97,0,0,0,0,0,0,4.44,0,0,28.27,0,1.18,0,0,0,0,0,0,0,28.65,0,0.4,0
 60-70,0,0,0,0,0,2.84,40.94,0,0,5.94,0.62,0,0,0,0,0,15.75,0,0.67,30.04,0.87,2.28,0,0,0,0,0,0,0,29.71,0,0,0
 72-82,0,0,0,0,0,0,110.46,1.43,0,11.33,0,2.05,0,0,0,0,26.5,0,2.7,50.99,0,3.17,1.71,0,0,0,0,0,0,16.13,0,4.85,0
 84-94,0,0,0.73,0,4.2,0.65,387.22,0.74,0,2.22,0.57,0,0,0,0,0,14.09,1.56,2.38,37.18,1.16,3.34,5.25,0,9.32,0,0,2.36,0,3.84,0,4.37,0.74
 96-106,0,0,0,0,4.32,5.2,757.36,0,0,7.03,0,0,0,3.05,0,0,14.1,0,0,52.26,0,2.58,0,0,0,0,0,0.57,0,5,0,7.31,1.49
108-118,0,0,0,0,1.61,7.94,972.46,5.44,0,18.73,0.42,4.01,1.33,0,2.71,0.82,19.95,1.29,1.03,57.56,0,4.81,0.74,0,0.46,0,0,0,0,0,1.51,1.9,0
120,0,0,0,0,0,0,635.35,0,0,2.6,0,1.96,0,0,9.43,0,5.37,0,0,25.04,0,0,0,0,0,0,1.14,0,0,0,2.71,0,10.35
