stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.89,67.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.88,0,0,0,26.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.42,0,1.79,0,0.88,0,0,0,0,1.92,0,0,0,0,1.16,0,2.34,0,0,2.07,22.05,0,0,0,0,0,0,0,0,2.04,16.96,0,0,0,0,0
 24-34,0,0,0.67,0,22.89,0,49.12,0,15.54,0,7.05,0,0,5.29,0.64,0,0,0,0,0,13.32,1.24,0,11.54,238.34,5.36,0,0,0,0,0,0,0,0.67,66.59,0,0,0.98,0,0.86
 36-46,0,0,1.16,0,6.37,0.58,83.34,0,12.53,0,49.8,0,0,7.89,0,0,0,0,0,0,61.22,0,2.36,10.63,446.56,4.83,0,0,0,0,0,0,0,0,79.01,0,0,3.49,0,2.41
 48-58,0,0,0.92,0.86,4.3,0,68.51,0,8.85,0.85,153.81,0,0,4.67,0,8.58,0,0,0,0,89.04,0.52,3.52,18.74,307.89,11.09,0,0,0,1.26,0.53,0,0,0,147.04,0,1.34,2.64,0,16.56
 60-70,0,0,1.49,0,23.22,0,137.63,0,17.82,3.76,304.84,3.7,0,2.81,0,0,0,0,0,0,202.4,0.85,13.28,21.12,444.54,10.2,0,1.67,0,0.63,0,0.58,0,0,130.48,0,9.33,3.11,4.49,31.61
 72-82,0,0,0.91,3.02,17.73,12.06,123.85,1.33,2.77,18.19,404.44,5.62,0.55,18.16,0,0,5.43,2.12,0,0,290.45,0,10.1,21.56,487.38,6.62,0,6.77,0,3.18,1.41,2.23,0,0,99.78,1.87,7.38,10.96,10.32,32.53
 84-94,0,0,1.15,1.91,16.85,3.14,133.67,0,10.61,6.27,355.8,7.66,0,8.13,0.59,1.15,0,2.12,6.31,4.64,263.67,4.13,10.32,27.91,413.21,14,0,16.9,0,0,3.94,0,0,0,78.03,0,9.75,13.8,2.44,40.88
 96-106,0,0,0,0,27.25,0,150.11,1.43,12.22,6.73,415.93,16.71,0,19.8,0,0,6.49,0,18.74,0,278.61,1.68,9.03,26.83,446.92,13.5,2.77,1.79,0,12.62,2.91,1.91,0,0,88.68,1.93,23.27,34.88,14.38,24.03
108-118,0,0,7.16,5.86,41.07,5.71,155.14,0.98,15.72,13.61,499.39,12.84,0,7.2,0.42,1.4,7.27,1.78,8.36,4.54,262.15,22.13,20.69,27.36,723.93,17.58,1.82,12.2,0,9.5,4.4,0.46,0.66,0,49.89,3.24,13.54,20.38,11.67,34.14
120,0,0,0,2.55,43.72,2.51,185.66,0,14.93,40.73,669.07,0,0,9.03,2.67,1.17,4.53,0,0,0,326.6,5.62,28.82,15.91,1129.67,25.95,0,24.25,0,0,5.13,3.15,0,0,70.99,0,41.76,46.91,59.59,22.5
