stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vasculature
  3-4,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.47,0,0,0,0
  7-9,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92,4.47,0,0,8.36,0,0,0,0,0
 10-12,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48,0,0,0,20.12,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.65,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0.8,0,0.97,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0.99,0.72,0,0,1.34,0,0,0,0
 48-58,0,0,0,0,0.5,0,0,0,0,4.42,0,0,0,0.49,0,0,6.21,0,1.2,0,0,0.43,1.03,0,0,0
 60-70,0,0,0,0,5.68,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0.65,1.01,0,0,0
 72-82,0,0,0,0,7.43,0,0,0,0.51,0,0.64,0,0,0,0,0.51,0,0,0,0,0,0.86,8.98,2.59,0,1.47
 84-94,0,0,0,0,5.24,0,0,0,0.82,0,0,0.72,0,0.56,0,0,6.1,0,0,0,0,0.61,3.14,0,0,0
 96-106,0,0,1.42,6.73,27.4,1.57,0,1.69,0,0,0,0.81,0,0,0,0,1.32,0.73,0,0,0,1.06,4.27,0,0,0
108-118,0,0,0,2.14,5.47,0,1.37,0,0.67,0,0,0,0.42,1.97,0.65,0,6.15,0,0,1.56,0,2.15,0.44,0,1.88,0
120,0,0,0,5.38,15.35,0,0,0,0,0,0,0,0,1.46,0,0,3.51,0,0,0,0,0,0,0,0,0
