stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,gut,hatching_gland,immune,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,20.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,59.34,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0
  7-9,15.1,3.86,0,4.88,0,0,0,0,0,55.5,11.16,0,19.89,0,0,0,0,0,0
 10-12,0,3.95,0,4.51,0,0,4.64,0,0,111.51,0,0,8.56,0,0,0,0,0,0
 14-21,0,0,0.99,0,0,0,0,0,0,4.89,0,0,0,0,0,0.95,0.81,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.07,0,1.45,0,3.57,0,0,0,8.75,0
 36-46,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,1.97,94.41,0
 48-58,0,0,0,2.36,0,0,0,0,0,1.47,0,0,0,0,0,0,0,53.21,0
 60-70,0,0,0,13.2,0,0,0,0,3.23,13.48,0,0,0,0,0,0,3.81,85.73,0
 72-82,0,0,0,0.55,0,0,0,0,0,0.65,0,0,0,0,0.73,0,0,213.33,0
 84-94,0,0,0,5.65,0,0,0,0,0,1.7,0,0,0,0,0,0,0,198.31,0
 96-106,0,0,1.07,0,3.07,0,0,1.66,8.18,2.72,0,0,0,0,0,0,0,293.57,3.12
108-118,0,0,0,13.83,0,0.86,0,0,2.43,5.56,0,0,0,0,0.44,0,0,353.07,0
120,0,0,0,0,0,0,0,0,4.39,9.29,0,0,0,0,0,0,0,557.91,0
