stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mural_cell,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,22.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.93,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,0,0,0.97,0.91,0,0,0,0,0,0,0,0,9.68,0,0,0,0.88,1.05,3.63,0,0,0
 24-34,0,0,0.68,0,0,1.46,0,0,0,0,0,0.86,2.46,0,19.32,0,0,0,0,0,4.09,0,1.77,0
 36-46,0,0,0,0,0,0.63,1.07,0,0,0,0.72,0,0.96,0,40.53,0,0,1.35,0,0,5.33,0,1.37,0
 48-58,0,0,0,5.9,0,10.83,1.29,0,0,0,0,0,4.1,0,29.69,0,0,3.01,0,0,2.81,0,0,0
 60-70,0,0,0,0,0,10.61,0.64,0,0,1.14,0,0,0,0,17.32,0,0,0.6,0,0,4.41,0,0,0
 72-82,0,0,0,0,0,11.11,3.7,0.53,1.02,0,2.92,0,0,0,23.95,0,0,0,0,0,12.63,0.87,0,0
 84-94,0,0,0,0,0,1.27,0.58,0.62,0,0,2.29,0,0,0,4.58,3.58,0.67,2.9,0,0,0,1.63,0,0
 96-106,0,0,0,0.65,3.25,6.24,2.36,2.64,0,2.91,1.42,0,5.51,0.63,12.29,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,5.86,20.06,3.2,0,0,1.63,7.13,0,6.09,0,15.86,0,1.81,2.88,0,0,5.09,0,0,3.33
120,0,0,0,0,0,3.26,0,0,0,0,1.91,0,0,0,3.89,0,0,0,0,0,0,0,0,0
