stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,29.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.58,0,0,22.05,0,0,0,0,0,0,0
 14-21,0,0,5.98,0.88,1.24,0,4.06,0,0,0,5.05,0,0,3.91,113.42,0,0,0,0,3.63,1.09,36.24,99.58,0,0
 24-34,0,0,0.95,0,6.17,0,0.94,0,0,0,12.88,0,0,3.69,235.58,0,0,0,1.41,0,0,0.59,75.61,0,0
 36-46,0,0,0,0,22.06,0,0,0,0,0,9.91,0,1.42,0.63,266.32,0,0,0,0.72,0,0,0,121.19,0.85,0
 48-58,0,0,1.3,2.61,21.87,2.11,6.2,0,0,0,7.07,0,0,2.28,62.99,0,0,0,0,0,0,0,46.25,0,0
 60-70,0,0,8.35,0,6.42,0,1.97,4.07,0,0,7.22,0,0,0,16.7,0,0,0,0,0,0,0,6.11,0,0
 72-82,0,0,0,0,1.51,0,0,0,0,0,4.48,0,0,1.1,3.55,0,0,0,0.61,0,0,0,1.17,0.66,0.7
 84-94,0,0,3.55,0,2.24,0,0,0,1.78,0,0,0,0,0,7.67,0,0,0,1.25,0,0,0,0,0,0
 96-106,0,0,3.18,0.91,1.48,0,0,1.59,0.69,0,2.62,0,0,0,2.1,0.63,1.6,0,10.82,0,0,0,0,0,0
108-118,0,0.74,3.02,0,20.06,0,0,2.06,2.47,0.55,4.58,0,0,0,6.53,0,0,0,6.19,0,0,0,0,0.53,0
120,0,0,17.46,0,20.45,1.31,3.02,0,0,0,5.94,3.33,0,0,2.63,0,0,0,16.84,0,0,0,0,0,0
