stage,blastomeres,glial,heart,mesenchyme,neural
  3-4,15.61,0,0,0,0
 36-46,0,1.3,0,0,0
 48-58,0,0.68,0,0,0
 60-70,0,0,1.47,0,0
 96-106,0,0,0,2.48,1.9
