stage,blastomeres,endocrine_pancreas,eye,glial,gut,lateral_line,liver,mesenchyme,muscle,neural,otic,somites,spinal_cord,vasculature
  3-4,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.96,0,2.25,0.94,0
 24-34,0,0,0,0,0,0,0,0.64,0,2.57,0,0.71,1.36,0
 36-46,0,0,0,0,0,0,0,0.96,0,1.25,1.46,0,0.77,0
 48-58,0,0,0.54,0.82,0,0.68,0,1.4,0,4.44,0,0,0,0
 60-70,0,0,4.52,1.5,0,0,0,10.02,0.58,0.84,3.17,0,0,0
 72-82,0,0,0,0,0.67,0,0,0.74,0,0.73,0,0,2.39,0
 84-94,0,1.05,0.95,1.64,0,0,0,4.9,0,2.14,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.19,0,0,0,0,0,1.49
108-118,0,0,0.63,3.6,0,0,4.66,3.73,0,0.92,0,0,0,0
120,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0
