stage,axial,epidermis,erythrocytes,eye,fin_mesenchyme,gut,liver,mesenchyme,neural,otic,periderm,spinal_cord
  5-6,18.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.77,0,0,0
 24-34,0,0,0,0,0,0,1.27,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,6.17,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.84,0,0,0
 60-70,0,0.77,0.93,7.92,0,0,0,0,0,0,0,1.68
 72-82,0,0,0.59,3.82,0,0,0,0,0,0,0,1.27
 84-94,0,0,0,0,0,1.01,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.56,0
108-118,0,0,2.59,1.68,0.79,0,0,0.72,7.67,0.76,0,0
120,0,0,0,0,0,0,0,4.81,0,0,0,0
