stage,endocrine_pancreas,eye,glial,mural_cell,neural,olfactory,spinal_cord
 14-21,0,0,0,0,0.86,0,0
 24-34,0.61,0,0,0,0,0,0.89
 60-70,0,0,1.03,0,0,0,0
 72-82,0,1.11,0,0,2.45,0,0
 84-94,0,0,1.12,0,3.87,0,0
 96-106,0,0,0,1.03,0,0,0
108-118,0,0,1.34,0,4.25,0,1.33
120,0,0,0,0,3.15,3.57,0
