stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,4.16,0,0,0,0,0,8.49,0,0,0,0,0,0,0,16.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.76,0,0,0,7.62,0,0,0,0,0,0,0,0,0
 14-21,22.85,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0.84,3.29,0,0,58.28,0,0,0,0,0,0.96,0,0,0,0
 24-34,16.57,1.37,0,0,0,0,0,0.92,0,0,0,2.76,0,26.25,0,8.38,28.46,0,0.85,110.78,0,0,0,0,0,0,0,0,0.65,0
 36-46,10.9,0.81,1.18,0,0,0,0,0,0,0,0,1.89,0,19.85,0,17.16,7.84,0,0,91.42,0,0.63,4.29,0,0,0,0,0,0,0
 48-58,3.51,0,1.14,1.56,0,0,1.37,0,0,0,0,1.51,0,17.49,0,16.4,9.02,0,0.4,74.11,0,3.21,0,0,0,1.4,0,0,0,2.55
 60-70,2.05,0,0,0.9,0,0,0.9,0,0,0,0,1.58,0,11.97,0,3.87,5.2,0,0,91.36,0,0,0,0,0,8.99,0,0,0,0
 72-82,0,0,0.6,0,0,0,4,0,0,0,0,1.94,0,25.4,0,0.67,46.89,0,3.73,168.35,0,0.6,0,0,0,1.2,0,0,0.93,0
 84-94,2.84,0,1.72,0.69,0,1.27,3.49,0,0,0.63,0.57,2.42,0,30.44,0,2.93,0,0,0,186.83,0,0,0,0,0,0.76,0,0,0,0
 96-106,8.87,4.32,4.81,0,1.1,0,3.53,0.64,0,1.53,0,2.86,0,16.07,0,1.05,32.84,2.86,1.27,209.49,0,3.02,0,0.63,0.68,0.99,0,1.03,3.61,6.55
108-118,2.97,3.95,2.7,0,2.55,0,8.96,0,0,3.41,0,2.09,0.73,18.18,0,0.72,10.87,1.68,0,234.36,0,7.96,0,0.46,0,0,0.6,0,1.93,0
120,10.64,1.08,2.48,0,0,0,9.19,0,0,0,0,0,0,14.52,17.7,2.44,47.91,0,1.4,165.57,0,3.37,0,0,0,0,0,0,0,0
