stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,mesenchyme,muscle,neural,olfactory,periderm,presomitic_mesoderm,somites,spinal_cord
 14-21,0.88,0,0,0,0,0,0.97,5.84,0,0,18.34,0.85,1.96
 24-34,0,0,0,0,0,0,0,0.83,0,0,0,0,3.01
 36-46,0,0,0,0,0,0,0,0.74,0,0,0,0,0
 60-70,0,0,0,1.45,0,2.58,0,0,0,0,0,0,0
 72-82,0,2.77,0,0,0,0,0,4.47,0.53,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.52
 96-106,1.42,0,0,0,0,0,0,0,0,0.87,0,0,0
108-118,0,0,3.16,0,0.86,0.42,0,0,0,0,0,0,0
