stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,207.29,1176.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,290.27,2185.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.77,0,0,0,8.94,44.27,0,0,0,0,0,0,0,0,0,0
  7-9,431.8,24.01,0,44.59,0,0,0,18.6,0,0,0,0,0,330.02,0,0,0,0,0,0,0,0,0,0,809.63,288.56,0,0,571.75,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,5.68,0,0,0,0,0,13.99,0,0,0,0,0,109.7,0,0,0,0,0,3.73,0,0,0,0,178.62,80.79,0,0,103.48,0,0,0,5.71,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.85,12.21,0,0,0,0,0,86.9,0,0,0,0,0,3.61,0,0,0,0,0,8.08,0,1.01,1.19,0,0,0,0,0
 24-34,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.41,0,1.15,0,2.63,2.44,0,0,0,0,0,0,0,0,1.18,0.61,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.1,0,0.95,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.19,0.79,0.39,0,0,3.6,0,0,0,0,0,0,0,2.86,0,0.9,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,5.36,0,0,0,1.26,0,0,0,0,0,0,0,85.86,0,1.69,0,0,4.33,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,3.17,0,0,0,2.66,0,0,0,0,0,0,0,375.51,0,2.03,0,0,29.87,0,0,0,0,1.31,0,0,0,0,0,0,0,0.5,0,1.71
 84-94,0,0,0.84,0,5.4,10.95,0,33.78,0,0,0,1.92,3.2,0,2.51,0,0,0,0,1249.49,0,7.17,0,0.74,47.82,0,0,0,0,9.18,0,0,0,0,5.83,0,1.38,0,0,5.45
 96-106,0,0,1.41,0,16.74,8.96,0,69.91,1.45,0.56,2.8,6.66,0.85,0,0,2.93,0.86,0,0.79,2194.38,0,30.9,0.8,0.78,234.52,0,0,1.59,0,8.63,0,0,0,0,12.83,0,0,2.46,1.85,15.98
108-118,0,0,0,0,14.25,1.23,0.72,78.35,0,1.45,6.94,10.05,0.99,0,0,0,0,0.44,2.75,4399.15,0,39.81,2.57,2.55,266.79,0.94,3.21,2.63,0,13.21,0,0,0.44,0,1.8,1.81,0,0,0,0
120,0,0,0,0,4.48,0,5.3,29.9,0,0,0,7.42,1.14,0,0,9.67,0,0,0,2319.6,0,11.98,0,1.77,137.87,0,0,2.45,0,2.98,0,0,0,0,8.94,0,0,0,4.11,1.16
