stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.11,0,15.34,10.01,0,8.57,0,1.17,0,1.81,0,1.39,0,0,2.66,0,0,0,0,11.68,0,0,4.65,80.78,7.76,0,2.17,0.99,0,8.77,0,21.29,0.86,0,23.5,45.54,0,0,1.71,0,0
 24-34,0,0,1.5,15.36,1.21,0,38.04,0,3.67,0,0,1,0,1.99,2.3,11.15,0.92,0.97,1.04,0,31.46,0.68,0,11.88,219.61,0,1.61,2.97,0,0,14.57,0,0,2.96,1.69,5.1,67.67,0,0,22.28,0,5.28
 36-46,0,0,0,6.88,0,0,70.91,0.66,0.57,0.61,19.87,0,0,0.89,0.56,7.98,1.81,0,14.93,0,22.79,0.68,0,4.89,157.31,2.92,0,1.13,0,0,30.74,0.68,0,0,0,0,46.78,0,0,7.13,0,10.11
 48-58,0,0,0,8.54,0,0,88.52,2.76,1.14,0,35.07,4.09,0,0.59,1.13,1.74,2,0,0.48,0.46,55.75,0,2.3,5.88,127.03,0,0.5,2.53,0,0,29.15,0,0,1.04,11.44,0,30.37,0,0,9.43,0,12.45
 60-70,0,0,0,23.75,0,0,59.71,2.88,1.14,6.07,41.97,1.98,0,0.87,0.66,1.2,2.33,1.25,1.33,0.88,52.78,0.63,3.96,4.29,103.47,3.73,1.54,4.82,0.81,0,37.42,0,0,2.36,5.44,0,7.47,0,1.56,6.24,0,0.77
 72-82,0,1.49,0,10.44,3.2,0,89.05,2.28,0.55,9.81,75.78,9.94,0,0,6.01,5.87,0.49,1.35,7.78,0,76.43,0.59,12.59,3.57,85.78,0,3.22,5.03,0,1.12,24.51,0,0,3.61,0,0,10.42,0.87,0,11.49,2.57,7.04
 84-94,0,0.8,0,18.69,1.22,1.69,102.58,1,4.88,4.02,75.77,18.34,0,2.4,9.7,9.38,6.24,0.59,8.75,3.2,98.72,0,5.09,6.03,74.4,0,2.84,2.18,0,0,47.11,0,0,8.91,3.36,0,6.57,2.5,0,10.91,2.71,1.11
 96-106,0,7.05,0,18.37,1.17,3.28,72.54,0.57,2.75,3.82,60.24,14.95,0,4.12,6.75,12.2,2.55,0.58,7.85,0,75.06,2.58,3.24,6.18,72.27,0,3.41,8.88,0,0,27.18,0,0,3.7,2.23,0,13.97,1.58,0,18.06,1.81,0.62
108-118,0,1.05,0.59,22.28,6.69,9.59,77.37,0,1.38,6.99,62.3,19.69,0,1.02,5.29,10.32,5.37,2.35,8.66,1.99,71.35,2.09,4.97,8.5,78.37,2.39,2.14,11.1,0,0,29.59,0,0,9.26,0.66,0,4.58,0.51,0,9.92,1.98,2.1
120,1.19,0,0,22.34,2.61,0,41.52,1.49,7.08,8.81,89.93,23.35,0,0,15.63,0,0,2.88,1.05,0,47.78,0,8.17,17.15,51.43,0,0,6.82,0,0,4.35,0,0,11.29,1.22,0,0,1.1,0,6.84,0,0
