stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.14,1038.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0
  5-6,27.95,598.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0
  7-9,8.09,0,4.45,0,0,30.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.99,4.5,0,0,47.19,0,4.16,9.39,0,0,0,0,0,0,0,0
 10-12,0,8.4,0,0,6.14,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.38,8.4,0,0,15.67,0,0,0,0,8.24,0,0,0,0,0,0
 14-21,0,0,0.83,10.1,2.09,1.84,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,5.06,27.66,0.94,0,0,0,0,7.78,0,5.32,0,8.76,8.43,0,1.01,0,0
 24-34,0,0,0,8.17,0.66,16.13,0,0.86,4.71,0,1.85,0.74,0,0,0,0.65,2.2,12.22,0,0,3.29,126.19,2.92,2.4,0,0,0,0.83,0,0,0,0,29.82,0,2.51,0,25.05
 36-46,0,0,0,0,2.75,65.09,0,0.61,0.73,0,0,0,0,0,4.32,0,13.07,9.54,0,0,1.53,171.19,0,0,0,0,0,12.24,0,0,0.62,0,38.49,0,0,0,2.86
 48-58,0,0,0,1.9,2.6,71.32,0,0,6.47,0,0.73,0.4,0.38,0,0.67,0,3.29,29.92,0,0,2.37,263.23,7.35,0.43,1.11,0,0,1.48,0,0,0,0,37.42,0,4.24,0,10.24
 60-70,0,0,0,3.46,0.68,78.16,0.81,0,7.46,0,0,0,0,0,0,0,0,15.55,1.58,0,1.2,296.69,0,0,0,0,0,5,0,0,0,0,7.38,0,3.36,0,0
 72-82,0,0,0,0.69,42.04,73.4,0,0,18.67,0,0,4.47,0,0,0,0,0,64.02,0.58,1.97,1.06,305.12,0,0.79,0.53,0,0,4.02,0,0,0,0,5.95,0.8,6.76,1.62,0
 84-94,0,0,0,1.35,8.44,49.51,0,0,3.57,0.57,0,0.7,0,0,0,0,0,83.52,0,0,0,150.41,0,0,8.11,0,1.01,6.24,0,0,0,0,8.04,0,15.62,0.92,0
 96-106,0,0,0,2.37,42.17,32.15,0,0,14.84,0,0,0.62,0,0,5.55,0,0,67.39,0,1.41,0.58,128.49,0,0.89,6.28,0,0,4.15,0,0,0,0,0,0,1.24,0,0
108-118,0,0,0,2.27,24.63,39.16,0,0,19.2,0,0,2.05,0.42,0.85,1.5,0,0,98.82,0,5.7,0,97.13,0.43,0,1.69,0,0,10.94,0,0,0,0,3.61,0,3.01,2.66,0
120,0,0,0,0,10.6,38.76,0,0,22.11,1.61,0,21.7,0,0,0,0,0,164.29,0,0,0,225.43,4.31,0,1.73,0,0,1.01,0,0,0,0,6.94,1.81,14.22,0,0
