stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.35,181.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.08,0,0,0,0,0,0,0
  5-6,0,48.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,11.09,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,11.58,0,5.47,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,2.16,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,10.43,0,0,0,0,0.61,0,0,0.59,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,9.73,0,0,1.31,16.19,0,0,0,0,0,0,0,1.33,0,0,0,0
 48-58,0,0,0,0,0,6.59,0,0,0,1.04,0,0,0,0,0,98,0,0,7.43,20.62,0.51,0,0,0,1.14,0,0,0.78,0,1.65,0,0
 60-70,0,0,0,0,0,8.84,0,0,0,0.97,0,0,0,0,0,469.41,0,0,1.26,36.63,0,0,0,0,4.21,0,0,3.47,3.01,0,0,0
 72-82,0,0,11.93,1.47,0,50.46,4.79,0,0,3.18,0,0.58,0,0,0,1168.85,0,1.36,18.45,82.35,1.15,0.67,0,0,0,0,0,0,6.3,0,0.91,0
 84-94,0,0,4.22,0,0,37.27,0,0.79,0,4.71,2.11,0,0,0,0,855.18,0,0.8,9.54,30.2,0,0,0,0,2.03,0,0,0,0,1.8,0,2.1
 96-106,0,0,1.79,0,0,20.67,0,0,1.55,6.71,0,0,7.71,0,0,653.57,5.92,0,9.09,51.46,0.62,0,2.56,0,3.11,0,0.65,0.73,0,0,0,0
108-118,0,0,2.81,0,0.6,12.74,0,0,1.58,1.51,0,0,4.26,0,0,737.24,0,0.74,17.97,58.57,0,0.86,2.6,0,2.5,0,0,0.55,6.21,0,0,0
120,0,0,1.36,0,0,6.99,0,0,0,0,0,0,0,0,5.66,858.49,0,0,2.57,20.72,0,0,0,0,0,0,0,0,24.77,0,0,0
