stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.47,827.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0,0,0,0,0
  5-6,31.82,689.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.95,7.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.18,0,0,0,15.55,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,7.91,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.92,27.69,0.81,0,0,0,0,0,0,0,0,7.46,0.9,0,0,0,0,0,0,0,2.09,3.95,0,0,1.08,0,0
 24-34,0,0,0,24.7,0,0,12.07,0,4.74,0.63,7.5,1.57,2.15,245.86,4.51,0,0,0,0,17.99,0,0,4.68,104.67,2.67,0,3.71,0,0,26.93,1.32,0.85,6.69,25.36,0,0,9.8,0,0
 36-46,0,0,0,22.72,0,0,16.25,1.9,4.59,4.17,20.11,0,1.82,265.83,1.48,0,0,0,0,30.08,0.7,0.6,6.01,67.1,29.88,1.82,0.72,0,0,30.67,16.97,4.22,0,29.43,0,0,14.4,0,0
 48-58,0,0,0,25.9,0,0,10.49,1.13,6.65,1.17,26.36,0,3.65,199.68,1.45,0,0.8,0,0.8,38.72,1.23,0,4.56,46.02,14,0,0.81,0,0.97,24.09,1.74,0,0,39.44,0,0,12.6,0,0.42
 60-70,0,0,0,43.99,8.59,0,33.2,0,8.55,0,72.9,0.84,0,195.56,2.84,0.66,1.96,0.81,1.24,46.72,1.43,0,3.52,41.48,2.96,0,1.67,0,0,35.07,1.74,2.15,0,17.68,1.22,1.8,14.04,0,9.49
 72-82,0,0,0,12.28,1.15,0,32.9,0,2.16,2.68,53.74,2.96,1.39,117.52,14.09,0.52,0,1.24,0,117.44,2.07,1.66,7.14,38.47,8.47,0,1.96,0,1.77,17.7,0,0,0,9.2,0.5,1.68,23.74,1.22,0
 84-94,0,0,1,29.9,8.35,0,38.58,2.25,7.38,3.89,54.52,15.25,2.41,133.76,24.03,2.38,0.81,0,0,74.09,7.42,2.28,6.26,52.47,13.38,0.64,2.64,0,0,53.11,3.64,0.66,0,7.36,1.23,0.77,13.54,4.8,0.66
 96-106,0,0,0,35.97,19.32,1.05,27.46,7.63,4,1.45,67.49,12.33,6.31,125.59,13.82,0,4.73,0.68,1.42,78.27,5.71,6.28,4.31,38.88,7.62,3.37,21.05,0,0,34.79,5.49,1.4,0,11.16,6.08,1.82,22.18,3.12,2.4
108-118,0,0,0,47.6,9.97,0,25.49,0.46,6.85,10.09,56.07,10.83,2.45,83.6,16.28,2.78,1.3,0.69,0,95.21,1.21,11,5.6,31.62,10.37,0.48,23.32,0,1.23,28.36,0.48,1.41,0,12.36,8.9,0,17.34,0.89,1.26
120,1.12,0,1.28,33.27,1.88,0,45.12,0,11.79,9.5,70.2,27.06,1.17,245.32,30.06,3.07,0,0,0,90.74,3.37,0,5.3,69.44,12.08,2.97,13.34,0,0,34.87,2.76,0,0,3.3,13.69,14.31,30.97,0,9.68
