stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.47,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,13.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.71,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,50.95,4.7,1.55,0,0,0,9.03,0,61.22,7.01,42.45,0,0,0,0,0
 24-34,0.61,0,0,2.57,0,0,0,0.63,0,0,0,0,0,0,1.13,0,0,0,264.42,0,4.5,2.26,0,3.52,0,2.43,5.22,0,75.08,0,0,0,0,0
 36-46,0,0,0,15.88,0,0,0,5.69,0,0,0,0,6.58,0,2.54,0,0,0,786.54,0.64,6.72,0,0,0,0,0.82,0,0,95.3,0,0,0,0,0
 48-58,0,3.2,0,70.39,0,0,1.57,13.83,0,0,0,0,1.98,0,9.55,0.63,0,2.07,1770.91,3.71,4.01,0,0,0.39,0,0,0,0,143.87,0,0,0.39,0,3.12
 60-70,0,11.5,0,160.55,0.79,0,1.48,21.51,0,0.72,0,4.64,0,0,26.16,0,0.87,1.75,2908.59,4.2,6.41,1.84,0,0.62,0,0,0,0,401.69,0,0,1.04,0,6.81
 72-82,0.54,10.99,6.06,302.11,0,4.8,0.62,28.83,1.17,0.56,0,0,0,14.03,44.06,0,2.65,0,3901.26,5.36,5.62,0.56,0.77,4.02,0,0,0,0,294.93,0,2.59,4.04,0.62,9.36
 84-94,2.24,9.28,3.26,210.26,0,4.74,1.13,52.38,1.29,3.73,0,5.42,0,0.98,48.45,0,4.57,2.39,2170.87,5.93,8.43,0,1.31,0.59,0,0,0,0,175.88,1.68,0.56,0,0,0
 96-106,0,15.46,0,182.19,0,0,0,68.75,0,0,1.69,2.18,0,0,39.49,9.23,3.27,0,2071,9.74,0,3.14,8.13,8.89,0,0,0,0,67.93,1.68,0,1.38,0,8.09
108-118,0,8.31,0,145.33,0,3.15,0.61,53.34,0.6,3.1,0,0,0.56,0,54.29,0,0,0.9,1953.44,10.89,7.5,2.98,1.31,0.95,0,0,0,0,90.89,0,0,0,0,0
120,0,18.08,0,324.41,2.29,2.35,0,127.37,6.14,4.1,0,0,0,0,69.89,0,17.45,6.51,3486.09,25.84,11.8,8.47,11.71,10.71,0,0,0,0,75.82,0,0,17.35,0,0
