stage,epidermis,fin_epithelia,immune,ionocyte,periderm
 24-34,0.86,0.7,0,0,1.34
 36-46,5.62,2.25,0,0,15.19
 48-58,8.18,0,0,0,4.74
 60-70,7.49,0,0,0,6.17
 72-82,2.28,0,0.58,0,0.56
 84-94,1.48,0,0,0.73,5.96
 96-106,0,0,0,0,1.5
108-118,1.02,0,0,0,0.67
120,11.24,2.12,1.78,0,8.98
