stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.5,122.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.96,223.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.53,5.25,0,16.4,0,0,0,42.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.78,20.9,0,0,44.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.1,0,19.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.82,0,0,0,14.88,0,0,0,8.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.29,5.14,0,1.09,0,0,0,0.92,0,0,0,0,0,0,2.94,0,17.16,0,0,1.06,10.56,1.89,0,0,0,0,0,3.2,0,1.09,1.4,11.99,0,0,0,0,0
 24-34,0,0,0,0,1.52,0.76,0,2.11,0,0,31.23,0,0,1.78,0,0.59,0,0,0,0,172.91,0,0,68.34,70.52,0,0,0,0,0,0.61,2.32,0,1.35,8.29,10.59,0,0,2.69,0,1.8
 36-46,0,0,0,0,12.52,0,0,4.98,0,23.15,250.48,1.43,1.15,2.08,1.03,0,0,0,2.4,9.89,468.41,0,0,129.22,63.87,0,0,0,0,0,4.79,0,0,2.6,0,18.5,0,0,4.38,0,6.12
 48-58,0,0,0,0,3.69,0,0,8.02,0,40.43,772.44,2.53,0,0.83,0,2.16,0,0,16.66,1.3,537.88,0,0,128.68,65.84,0,0,0,0,0,0,0,0,0.82,0,24.1,0,0,0,0.9,20.7
 60-70,0,0,0,0,9.52,0,0,33.72,0.83,48.11,1043.52,0.96,0,0,0,3.15,0,0,49.92,0,861.83,0.57,0,63.88,95.63,0,0,4.22,0,0,0,0,0,1.67,0,7.04,0,1.03,0.59,0,25.66
 72-82,0,0,0,0,6.48,5.46,1.29,129.42,0,42.08,2008.25,15.84,4.23,0,6.19,7.33,0,0,226.94,1.47,2061.4,1.26,1.23,132.29,135.48,0,3.39,1.56,0,1.08,3.93,0,6.6,3.42,0,13.39,0,5.35,0,6.61,10.45
 84-94,0,0,0,0,10.64,11.04,4.74,164.8,0,43.3,1405.88,22.62,2.44,0,0.65,10.85,4.86,5.08,692.53,0.56,1989.14,6.97,0.76,105.15,77.67,0,0,0,0,0,7.29,0,4.32,0.73,0,5.79,1.01,3.13,2.52,10.93,8.84
 96-106,0,0,1.08,3.22,71.32,24.56,10.09,217.4,8.86,71.52,1770.46,61.86,11.72,4.71,12.96,31.61,1.06,0,1226.84,2.01,3739.6,8.13,5.65,130.37,454.93,0,7.23,3.65,0,1.58,12.93,0,20.65,4.16,0,27.85,2.77,5.72,24.59,16.8,0
108-118,3.02,0,0,0,40.89,8.09,15.9,135.52,2.21,21.22,1703.51,30.16,2.87,1.03,8,15.9,0.64,1.29,2699.47,9.42,5347.83,0,6.53,198.12,392.56,0.5,5.96,6.54,0,4.04,7.77,0,27.05,2.41,0,24.52,0,4.03,7.77,3.84,10.46
120,0,0,0,0,40.1,5.67,11.78,127,0,5.38,1774.11,45.42,3.25,26.44,1.26,21.11,0,0,1548.88,8.73,5690.47,3.7,15.27,190.27,358.9,0,17.2,0,0,17.39,1.18,0,24.88,3.07,0,26.82,0,0,10.05,7.27,7.26
