stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.84,16.39,1.71,0,6.72,0,0,0,0,0,0,0,0,3.27,0,0,8.75,58.98,0,0,0.96,1.82,0,11.21,6.37,0,3.22,35.59,0,0,0,0,0
 24-34,0,1.12,1.27,2.03,0,10.5,0,0,0.65,0,0,0.86,0,0,15.04,0,0,0.69,167.6,0.8,0,3.98,0,0,17.6,0,0,0,20.67,0,0,0.6,0,3
 36-46,0,0.63,0.73,1.2,0,22.33,0,0,12.71,0,0,0,0,0,14.72,0,0.72,0.71,125.69,0,4.36,0,0,0,4.51,0,0,0,30.6,0,0,5.14,0,8
 48-58,0,0,4.87,0,0,60.73,0,0.54,8.04,0,0,0,0,0,12.11,0.95,5.21,2.44,165.83,0,0,0,0,0,1.93,0,0,0,19.83,0,0,6.83,0,2.57
 60-70,0,0,4.04,0,0,48.84,1.49,0,5.03,0,0,0,3.07,0.77,36.38,0,4.21,0,107.47,0,0,4.21,0,0,8.29,0,0,0,9.95,0,0,1.59,0,0
 72-82,1.15,0,1.67,0,0,32.23,0,0,7.2,1.38,0,0,0.55,0,20.21,0.55,0,2.35,79.88,0,5.16,2.7,0,0,0,0,0,0,3.28,0,0,4.37,0,0
 84-94,0,0,4.54,0,0,15.83,0,1.01,5.35,0.9,0,0.92,0,0,25.25,0,1.88,0.95,52.41,0,0,0,0,0,2.33,0,0,0,3.94,1.03,2.64,4.79,0,7.62
 96-106,0,0,10.48,0,1.14,16.32,0,0,1.94,0,0.65,0,0,0,6.13,0,0,0,52.94,1.02,0,0,0,0,2.57,0,0,0,4.81,0,0,0.89,0.98,0
108-118,0,0,1.52,5.27,0,20.03,0,0,9.87,0,1.63,0,0,0,12.2,0,0,4,56.57,0.43,0.77,0.72,0,0,3.51,0,0.81,0,0,0,0,0,0,0
120,0,0,0,0,0,33.11,0,0,1.8,0,0,0,0,0,1.4,0,0,0,27.14,0,0,0,0,13.66,1.41,0,0,0,0,0,0,0,0,0
